20,,,Canterbury Christ Church University College,45,0,18,0,63,,18,3,44,0,65,,116,37,38,0,191,,29,0,39,0,68,,10,0,12,0,22,,0,0,0,0,0,,5,0,0,0,5,,223,40,151,0,414,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,The University of Central England in Birmingham,0,0,0,0,0,,7,16,0,0,23,,196,475,302,0,973,,32,298,64,0,394,,172,442,554,0,1168,,0,0,0,0,0,,2,7,5,0,14,,409,1238,925,0,2572,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,The University of Central Lancashire,21,80,85,0,186,,97,63,60,0,220,,165,283,308,0,756,,7,78,109,0,194,,12,34,62,0,108,,0,0,3,0,3,,23,163,66,0,252,,325,701,693,0,1719,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,Central School of Speech and Drama,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,Chester College of HE,0,0,0,0,0,,0,0,0,0,0,,34,105,58,5,202,,0,0,0,0,0,,0,0,0,0,0,,0,0,4,0,4,,0,0,0,0,0,,34,105,62,5,206,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,University College Chichester,0,0,0,0,0,,36,0,1,0,37,,36,0,4,0,40,,2,0,30,2,34,,0,0,0,0,0,,0,0,0,0,0,,10,0,27,0,37,,84,0,62,2,148,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,City University,595,25,316,0,936,,332,15,189,0,536,,632,4,601,0,1237,,198,5,141,0,344,,245,0,275,0,520,,138,0,78,0,216,,169,4,112,0,285,,2309,53,1712,0,4074,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,Coventry University,87,0,51,0,138,,107,0,345,14,466,,159,0,203,0,362,,87,0,30,0,117,,769,0,384,0,1153,,14,0,15,0,29,,0,0,25,0,25,,1223,0,1053,14,2290,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,Cranfield University,1973,478,2617,0,5068,,67,121,45,0,233,,712,1878,4312,0,6902,,1274,3312,3295,0,7881,,510,1231,1501,0,3242,,224,812,1134,0,2170,,0,0,0,0,0,,4760,7832,12904,0,25496,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,Cumbria Institute of the Arts(#2),0,0,0,0,0,,0,0,0,0,0,,0,0,4,0,4,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,4,0,4,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,Dartington College of Arts,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,De Montfort University,679,57,646,0,1382,,329,40,282,0,651,,707,232,730,0,1669,,416,54,633,0,1103,,293,78,363,0,734,,472,13,496,0,981,,191,60,843,0,1094,,3087,534,3993,0,7614,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,University of Derby,18,18,172,0,208,,0,15,20,0,35,,112,40,116,0,268,,16,50,173,0,239,,1,0,31,0,32,,0,0,26,0,26,,0,0,20,0,20,,147,123,558,0,828,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,University of Durham,3577,376,1886,809,6648,,1460,92,912,15,2479,,1906,550,3644,45,6145,,638,173,515,30,1356,,471,83,415,0,969,,224,37,244,34,539,,0,1,0,0,1,,8276,1312,7616,933,18137,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,The University of East Anglia,2967,379,1485,908,5739,,2040,69,923,304,3336,,1837,279,1373,152,3641,,422,40,498,35,995,,1096,36,534,52,1718,,331,46,412,10,799,,168,10,64,4,246,,8861,859,5289,1465,16474,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
