"Table 17 - Full-time Non-clinical Wholly Institutionally Financed Staff by Departmental Group, Grade(#9) and Age 2000/01",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,25 & under,26               -30,31            -35,36           -40,41                  -45,46                -50,51               -55,56                  -60,61               -65,66,Un-  known,Total,,
71,,,Researchers,0,0,0,0,0,0,0,0,0,0,0,0,,71
72,,,Other grades,0,0,0,0,0,0,0,0,0,0,0,0,,72
,,,,,,,,,,,,,,,,,
73,,Residences & catering,,0,0,0,0,0,0,0,0,0,0,0,0,,73
74,,,Professors,0,0,0,0,0,0,0,0,0,0,0,0,,74
75,,,Senior lecturers & researchers,0,0,0,0,0,0,0,0,0,0,0,0,,75
76,,,Lecturers,0,0,0,0,0,0,0,0,0,0,0,0,,76
77,,,Researchers,0,0,0,0,0,0,0,0,0,0,0,0,,77
78,,,Other grades,0,0,0,0,0,0,0,0,0,0,0,0,,78
 ,,,,,,,,,,,,,,,,, 
79,,All academic staff,,1160,5565,10190,11725,11850,12795,13740,8070,2940,190,30,78245,,79
80,,,Professors,0,5,115,700,1370,2270,2975,2145,970,75,5,10635,,80
81,,,Senior lecturers & researchers,5,100,1025,2495,3315,3765,4485,2865,1005,50,0,19110,,81
82,,,Lecturers,210,3190,7130,7065,5920,5465,4920,2395,750,35,5,37080,,82
83,,,Researchers,725,1905,1485,960,590,440,335,165,50,5,5,6665,,83
84,,,Other grades,220,360,440,500,655,855,1025,505,160,25,10,4755,,84
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"In this table 0, 1, 2 are rounded to 0. All other numbers are rounded up or down to the nearest 5.",,,,,,,,,,,,,,,,,
# see relevant footnote in Notes on Tables.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Copyright © Higher Education Statistics Agency Ltd 2002,,,,,,,,,,,,,,,,,
