Table 7 - Staff Costs of each Institution by Activity 2000/01,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Institutions,,,,,,,,,,,,,,,,,,,,£ Thousands,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Academic Staff Costs,,,,,Other Staff Costs,,,,,,,,,,,,,,,
,,,,Academic       depts,Academic              services,Admin &       central        services,Research              grants &                  contracts,Other expenditure,Total ,,Academic       depts,Academic              services,Admin &       central        services,Premises,Residences & catering ops,Research              grants &                  contracts,Other expenditure,Total ,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,Total UK,,3444373,42615,72165,786423,117461,4463037,,1021554,497242,821986,343589,257735,268437,237531,3448074,,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,Total England,,2813339,39022,61033,669451,90933,3673778,,824783,398513,675486,274700,210274,192142,182985,2758883,,2,,,,,,
44,,,University of Hertfordshire,30471,0,0,2021,110,32602,,7497,3640,7466,1643,2326,49,4218,26839,,44
45,,,Homerton College,4752,0,0,206,0,4958,,949,221,668,373,528,41,781,3561,,45
46,,,The University of Huddersfield,21812,0,0,805,242,22859,,4839,2593,4589,2598,379,91,342,15431,,46
47,,,The University of Hull,24580,0,0,4095,4063,32738,,10120,3371,5411,3153,2317,423,0,24795,,47
48,,,"Imperial College of Science, Technology & Medicine",72399,578,1187,51436,1658,127258,,29919,9606,12262,10709,4859,12305,1736,81396,,48
49,,,Institute of Advanced Nursing Education,2331,602,0,0,0,2933,,574,150,785,0,0,285,120,1914,,49
50,,,Institute of Education,8648,0,0,3544,539,12731,,1265,1591,2190,352,766,389,87,6640,,50
51,,,The University of Keele,17753,48,126,2906,212,21045,,3319,1814,3774,1240,3593,1055,634,15429,,51
52,,,The University of Kent at Canterbury,18331,0,0,4309,0,22640,,3916,2936,6013,1924,4484,632,2109,22014,,52
53,,,Kent Institute of Art & Design,3778,0,168,0,0,3946,,1105,661,2243,260,231,14,74,4588,,53
