"Table 18a - Full-time Academic Staff by Cost Centre, Principal Source of Salary, Grade(#9) and Gender 2000/01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Wholly Institutionally Financed,,,,,,,,,,,,,,,,,All Other Sources of Finance,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Professors,,,Senior Lecturers & Researchers,,,Lecturers,,,Researchers,,,Other Grades,,,,,Professors,,,Senior Lecturers & Researchers,,,Lecturers,,,Researchers,,,Other Grades,,,,,
,,,,Female,Male,,Female,Male,,Female,Male,,Female,Male,,Female,Male,,Total,,Female,Male,,Female,Male,,Female,Male,,Female,Male,,Female,Male,,Total ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,"French, Spanish & German modern languages",45,140,,130,240,,435,330,,10,15,,160,60,,1570,,0,0,,0,0,,10,5,,5,10,,5,5,,40,,36
37,,,Other modern languages,15,60,,35,85,,150,120,,5,5,,50,15,,540,,0,5,,0,0,,5,5,,5,10,,0,0,,30,,37
38,,,Archaeology,5,45,,15,55,,45,70,,15,35,,5,10,,295,,0,0,,0,0,,0,5,,35,50,,0,0,,95,,38
39,,,Sports science & leisure studies,10,45,,30,65,,195,340,,20,20,,10,40,,770,,0,5,,0,0,,5,10,,20,20,,0,0,,60,,39
40,,,Computer software engineering,15,230,,90,500,,325,1060,,40,185,,30,110,,2585,,0,5,,5,10,,5,35,,85,415,,5,20,,585,,40
41,,,Continuing education,5,25,,40,70,,80,90,,10,5,,45,30,,405,,0,0,,5,0,,5,5,,10,0,,5,5,,30,,41
,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,, ,,
42,,Academic services ,,5,20, ,20,35, ,75,65, ,40,35, ,65,65, ,425,,0,0, ,0,0, ,10,15, ,35,30, ,0,10, ,105,,42
43,,,Central libraries & information services,0,0,,5,10,,35,30,,10,10,,35,25,,160,,0,0,,0,0,,0,0,,10,10,,0,5,,30,,43
44,,,Central computers & computer networks,0,0,,0,0,,5,5,,5,10,,10,25,,60,,0,0,,0,0,,0,0,,5,5,,0,0,,10,,44
