Table 19a - Summaries of Full-time Academic Staff in all UK Institutions ,,,,,,,,,,,,,,,,,,,
"by Clinical Status, Primary Employment Function and Principal Source of Salary 2000/01",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,Teaching/Teaching                    & Research,,,Research only,,,Non-clinical,,,Clinical,,,Total,,,
,,,,,,,,,,,,,,,,,,,
,,,,Wholly institut-          ionally financed,All other sources of finance,,Wholly institut-        ionally financed,All other sources of finance,,Wholly institut-          ionally financed,All other sources of finance,,Wholly institut-          ionally financed,All other sources of finance,,Wholly institut-          ionally financed,All other sources of finance,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
1,,Total UK,,72695,7710, ,7740,28260,,78245,32290,0,2190,3680,,80435,35970,,1
68,,,The London Institute,340,0,,15,0,,350,0,,0,0,,350,0,,68
69,,,London School of Economics and Political Science,430,40,,10,115,,440,160,,0,0,,440,160,,69
70,,,London School of Hygiene & Tropical Medicine,90,90,,10,185,,75,230,,25,45,,100,275,,70
71,,,Loughborough University,590,10,,100,370,,690,380,,0,0,,690,380,,71
72,,,University of Luton,445,20,,100,15,,545,30,,0,0,,545,30,,72
73,,,University of Manchester,1370,335,,355,920,,1590,1060,,135,190,,1725,1255,,73
74,,,The University of Manchester Institute of Science & Technology,495,15,,40,320,,535,335,,0,0,,535,335,,74
75,,,The Manchester Metropolitan University,1135,95,,20,35,,1155,130,,0,0,,1155,130,,75
76,,,Middlesex University,660,20,,15,55,,675,75,,0,0,,675,75,,76
77,,,The University of Newcastle-upon-Tyne,885,175,,205,740,,1000,715,,90,200,,1090,915,,77
78,,,Newman College,60,0,,0,0,,60,0,,0,0,,60,0,,78
79,,,The University of North London,490,30,,0,0,,490,30,,0,0,,490,30,,79
80,,,University College Northampton,395,5,,30,0,,425,5,,0,0,,425,5,,80
81,,,Northern School of Contemporary Dance,10,0,,0,0,,10,0,,0,0,,10,0,,81
82,,,The University of Northumbria at Newcastle,870,45,,40,95,,910,140,,0,0,,910,140,,82
83,,,Norwich School of Art and Design,25,0,,0,0,,25,0,,0,0,,25,0,,83
84,,,The Nottingham Trent University,900,25,,50,60,,950,85,,0,0,,950,85,,84
85,,,The University of Nottingham,1055,310,,145,785,,1155,965,,45,130,,1200,1095,,85
86,,,The Open University,1040,90,,0,0,,1040,90,,0,0,,1040,90,,86
87,,,Oxford Brookes University,485,15,,15,15,,500,30,,0,0,,500,30,,87
88,,,The University of Oxford,1390,40,,370,2100,,1625,1975,,135,170,,1760,2145,,88
89,,,The University of Plymouth,830,140,,0,35,,820,170,,10,5,,830,175,,89
90,,,The University of Portsmouth,680,95,,0,0,,680,95,,0,0,,680,95,,90
91,,,Queen Mary and Westfield College,505,245,,60,445,,505,545,,60,150,,565,695,,91
92,,,Ravensbourne College of Design and Communication,25,0,,0,0,,25,0,,0,0,,25,0,,92
93,,,The University of Reading,715,45,,125,235,,840,280,,0,0,,840,280,,93
94,,,"University of Surrey, Roehampton",235,0,,15,5,,245,5,,0,0,,245,5,,94
95,,,Rose Bruford College,30,0,,0,0,,30,0,,0,0,,30,0,,95
96,,,Royal Academy of Music,95,0,,0,0,,95,0,,0,0,,95,0,,96
97,,,Royal College of Art,25,0,,0,5,,30,10,,0,0,,30,10,,97
98,,,Royal College of Music,15,0,,0,0,,15,0,,0,0,,15,0,,98
99,,,Royal Holloway and Bedford New College,405,0,,45,95,,450,95,,0,0,,450,95,,99
100,,,Royal Northern College of Music,30,0,,0,0,,30,0,,0,0,,30,0,,100
101,,,The Royal Veterinary College,105,25,,5,45,,110,70,,0,0,,110,70,,101
102,,,St George's Hospital Medical School,200,110,,35,285,,195,255,,45,145,,240,400,,102
103,,,College of St Mark and St John,100,15,,0,0,,100,15,,0,0,,100,15,,103
104,,,St Martin's College,300,0,,10,0,,310,0,,0,0,,310,0,,104
105,,,St Mary's College,115,0,,0,0,,115,0,,0,0,,115,0,,105
106,,,The University of Salford,835,45,,20,50,,850,95,,0,0,,850,95,,106
107,,,The School of Oriental and African Studies,215,15,,0,0,,215,15,,0,0,,215,15,,107
108,,,The School of Pharmacy,45,0,,5,45,,45,50,,0,0,,45,50,,108
109,,,Sheffield Hallam University,845,70,,120,85,,965,155,,0,0,,965,155,,109
110,,,The University of Sheffield,1200,140,,60,850,,1175,880,,90,110,,1265,990,,110
111,,,South Bank University,510,235,,50,65,,560,300,,0,0,,560,300,,111
112,,,Southampton Institute,410,0,,0,0,,410,0,,0,0,,410,0,,112
113,,,The University of Southampton,950,95,,125,825,,1055,830,,25,90,,1080,915,,113
114,,,Staffordshire University,520,40,,25,25,,545,65,,0,0,,545,65,,114
115,,,The University of Sunderland,565,0,,75,25,,640,25,,0,0,,640,25,,115
116,,,"The Surrey Institute of Art and Design, University College",75,0,,5,0,,80,0,,0,0,,80,0,,116
117,,,The University of Surrey,555,5,,185,210,,740,220,,0,0,,740,220,,117
118,,,The University of Sussex,510,5,,55,265,,565,270,,0,0,,565,270,,118
119,,,The University of Teesside,365,130,,5,30,,375,160,,0,0,,375,160,,119
120,,,Thames Valley University,235,165,,0,0,,235,170,,0,0,,235,170,,120
121,,,Trinity And All Saints College,90,0,,0,0,,95,0,,0,0,,95,0,,121
122,,,Trinity College of Music,5,0,,0,0,,5,0,,0,0,,5,0,,122
123,,,University College London,1390,335,,220,1945,,1370,1870,,240,415,,1610,2280,,123
124,,,The University of Warwick,825,40,,110,360,,930,395,,5,5,,935,400,,124
125,,,"University of the West of England, Bristol",840,5,,55,65,,895,70,,0,0,,895,70,,125
126,,,The University of Westminster,565,15,,30,60,,595,75,,0,0,,595,75,,126
127,,,Wimbledon School of Art,25,0,,0,0,,25,0,,0,0,,25,0,,127
128,,,The University of Wolverhampton,810,15,,35,15,,845,30,,0,0,,845,30,,128
129,,,University College Worcester,200,0,,5,0,,205,0,,0,0,,205,0,,129
130,,,Writtle College,135,0,,0,0,,135,0,,0,0,,135,0,,130
131,,,York St John College(#2),150,0,,0,0,,150,0,,0,0,,150,0,,131
132,,,The University of York,455,35,,80,375,,535,410,,0,0,,535,410,,132
,,,,,,,,,,,,,,,,,,,
133,,Total Wales,,3960,225,0,455,1150,,4305,1265,0,110,110,,4415,1375,,133
134,,,"University of Wales, Aberystwyth",385,5,,40,130,,420,140,,0,0,,420,140,,134
135,,,"University of Wales, Bangor",400,10,,45,160,,445,175,,0,0,,445,175,,135
136,,,Cardiff University,890,50,,170,495,,1060,545,,0,0,,1060,545,,136
137,,,"University of Wales Institute, Cardiff",320,0,,30,0,,350,0,,0,0,,350,0,,137
138,,,University of Glamorgan,515,0,,55,0,,570,0,,0,0,,570,0,,138
139,,,"The University of Wales, Lampeter",85,0,,0,0,,85,0,,0,0,,85,0,,139
140,,,University of Wales College of Medicine,280,115,,85,195,,255,200,,110,110,,365,310,,140
141,,,"University of Wales College, Newport",140,0,,5,0,,145,0,,0,0,,145,0,,141
142,,,The North-East Wales Institute of Higher Education,140,15,,5,5,,145,25,,0,0,,145,25,,142
143,,,"The University of Wales, Registry",0,0,,15,5,,15,5,,0,0,,15,5,,143
144,,,Swansea Institute of Higher Education,150,0,,0,0,,150,0,,0,0,,150,0,,144
145,,,"University of Wales, Swansea",545,20,,10,160,,555,180,,0,0,,555,180,,145
146,,,"Trinity College, Carmarthen",80,0,,0,0,,80,0,,0,0,,80,0,,146
147,,,Welsh College of Music and Drama,35,0,,0,0,,35,0,,0,0,,35,0,,147
,,,,,,,,,,,,,,,,,,,
148,,Total Scotland,,8200,920,0,875,4045,,8750,4580,0,330,385,,9080,4965,,148
149,,,The University of Aberdeen,590,65,,100,455,,625,480,,60,40,,690,520,,149
150,,,University of Abertay Dundee,225,5,,5,20,,230,25,,0,0,,230,25,,150
151,,,The University of Dundee,550,175,,40,475,,515,580,,75,75,,590,650,,151
152,,,Edinburgh College of Art,55,5,,5,5,,60,10,,0,0,,60,10,,152
153,,,The University of Edinburgh,1225,185,,130,1155,,1290,1145,,65,195,,1355,1340,,153
154,,,Glasgow Caledonian University,580,80,,30,60,,610,140,,0,0,,610,140,,154
155,,,Glasgow School of Art,65,0,,0,0,,65,0,,0,0,,65,0,,155
156,,,The University of Glasgow,1125,135,,150,845,,1145,905,,125,75,,1275,980,,156
157,,,Heriot-Watt University,400,40,,30,205,,430,245,,0,0,,430,245,,157
158,,,Napier University,505,10,,35,50,,545,60,,0,0,,545,60,,158
159,,,Northern College of Education,105,0,,0,0,,105,0,,0,0,,105,0,,159
160,,,The University of Paisley,415,10,,15,20,,430,30,,0,0,,430,30,,160
161,,,"Queen Margaret University College, Edinburgh",175,5,,0,0,,180,5,,0,0,,180,5,,161
162,,,The Robert Gordon University,375,75,,35,30,,405,105,,0,0,,405,105,,162
163,,,The Royal Scottish Academy of Music and Drama,25,0,,0,0,,25,0,,0,0,,25,0,,163
164,,,The University of St Andrews,445,15,,30,240,,475,255,,0,0,,475,255,,164
165,,,Scottish Agricultural College,150,0,,105,5,,250,5,,0,0,,250,5,,165
166,,,The University of Stirling,360,70,,70,85,,430,155,,0,0,,430,155,,166
167,,,The University of Strathclyde,835,45,,100,395,,935,440,,0,0,,935,440,,167
,,,,,,,,,,,,,,,,,,,
168,,Total Great Britain,,70845,7470,0,7530,27665,,76195,31580,0,2180,3555,,78375,35135,,168
,,,,,,,,,,,,,,,,,,,
169,,Total Northern Ireland,,1850,240,0,210,595,,2050,715,0,10,125,,2060,835,,169
170,,,The Queen's University of Belfast,765,220,,90,430,,840,525,,10,125,,850,650,,170
171,,,St Mary's University College,55,0,,0,0,,55,0,,0,0,,55,0,,171
172,,,Stranmillis University College,60,0,,0,0,,60,0,,0,0,,60,0,,172
173,,,University of Ulster,975,20,,120,170,,1095,190,,0,0,,1095,190,,173
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"In this table 0, 1, 2 are rounded to 0. All other numbers are rounded up or down to the nearest 5.",,,,,,,,,,,,,,,,,,,
# see relevant footnote in Notes on Tables.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Copyright © Higher Education Statistics Agency Ltd 2002,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
