,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 8 - Other Operating Costs of each Institution by Activity 2000/01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Institutions,,,,,,,,,,,,,,,,,,,,,,,,,,,£ Thousands,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Other Operating Expenses,,,,,,,,,Depreciation,,,,,,,,,Interest Payable,,,,,,,,,,,,,,,,
,,,,Academic depts,Academic services,Admin & central services,Premises,Residences & catering  ops,Research grants & contracts,Other       expen-       diture,Total ,,Academic depts,Academic services,Admin & central services,Premises,Residences & catering ops,Research grants & contracts,Other           expen-                 diture,Total,,Premises,Residences & catering ops,Other      expen-     diture,Total ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,Total UK,,1120710,397524,768898,767137,455907,786700,511022,4807898,,94283,45725,39616,242257,60403,83779,48024,614087,,53413,111537,46437,211387,,1,,,,,,,,,,,
150,,,University of Abertay Dundee,1591,3382,2239,1163,769,440,1706,11290,,0,0,0,993,0,0,0,993,,0,0,0,0,,150
151,,,The University of Dundee,10082,2263,4425,3979,2194,11294,2296,36533,,1099,126,274,1518,368,2216,92,5693,,46,453,0,499,,151
152,,,Edinburgh College of Art,1100,263,726,634,125,240,320,3408,,68,193,2,129,0,0,0,392,,18,0,0,18,,152
153,,,The University of Edinburgh,24024,6393,6858,18127,11143,27988,4000,98533,,455,148,75,7967,0,2559,616,11820,,0,1356,2547,3903,,153
154,,,Glasgow Caledonian University,4564,1678,2923,8995,635,773,4090,23658,,553,306,204,1877,118,0,0,3058,,0,0,175,175,,154
155,,,Glasgow School of Art,1651,213,752,714,133,786,210,4459,,0,0,0,784,0,0,0,784,,33,113,0,146,,155
156,,,The University of Glasgow,16791,4485,14920,14081,4133,23524,5624,83558,,1647,169,203,5602,1415,2203,142,11381,,0,0,2104,2104,,156
157,,,Heriot-Watt University,5775,1097,6131,3207,4594,6382,2142,29328,,213,60,1487,13,931,0,1475,4179,,0,0,1388,1388,,157
158,,,Napier University,5113,2128,3576,2890,3346,339,1356,18748,,316,357,182,853,143,0,1,1852,,73,0,0,73,,158
159,,,Northern College of Education,1494,214,695,782,354,5,0,3544,,62,60,20,632,60,0,0,834,,0,0,429,429,,159
160,,,The University of Paisley,570,2828,137,1495,1068,273,3414,9785,,2162,721,3551,710,286,471,125,8026,,0,433,0,433,,160
161,,,"Queen Margaret University College, Edinburgh",1284,795,1372,1434,841,421,379,6526,,84,74,50,696,27,0,0,931,,0,0,106,106,,161
162,,,The Robert Gordon University,4120,1425,1994,2134,1446,769,11140,23028,,785,551,372,3046,355,0,1276,6385,,0,458,96,554,,162
163,,,The Royal Scottish Academy of Music and Drama,588,154,436,867,181,5,67,2298,,118,73,33,301,0,0,0,525,,0,0,0,0,,163
164,,,The University of St Andrews,4223,1605,3448,2566,3137,3846,192,19017,,503,443,0,684,535,1160,0,3325,,0,803,937,1740,,164,,,,,,,,,,,,,,,,,,,,,,,,,
165,,,Scottish Agricultural College,5627,1069,2962,2985,901,1294,5215,20053,,60,361,1729,610,0,0,312,3072,,0,73,687,760,,165,,,,,,,,,,,,,,,,,,,,,,,,,
166,,,The University of Stirling,4832,1650,2797,2023,2898,1751,3408,19359,,100,76,40,877,696,0,139,1928,,279,1105,155,1539,,166,,,,,,,,,,,,,,,,,,,,,,,,,
167,,,The University of Strathclyde,14570,3760,5821,6484,4068,8177,8341,51221,,0,0,0,2933,650,1208,2449,7240,,240,357,1191,1788,,167,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,,Total Great Britain,,1102314,389761,756504,746321,451705,772850,500448,4719903,,92895,45045,39346,235919,60172,81146,47970,602493,,53213,111047,45848,210108,,168,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,,Total Northern Ireland,,18396,7763,12394,20816,4202,13850,10574,87995,,1388,680,270,6338,231,2633,54,11594,,200,490,589,1279,,169,,,,,,,,,,,,,,,,,,,,,,,,,
170,,,The Queen's University of Belfast,10541,3546,8348,12277,1608,8638,4645,49603,,605,312,34,1726,35,1939,10,4661,,200,490,0,690,,170,,,,,,,,,,,,,,,,,,,,,,,,,
