Table 6 - Expenditure of each Institution by Activity 2000/01,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
UK Institutions,,,,,,,,,,,,,£ Thousands,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Academic depts,Academic services,Admin & central services,Premises,Resid-   ences & catering ops,Research grants & contracts,Other expen-diture,Total ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
1,,Total UK,,5680920,983106,1702665,1406396,885582,1925339,960475,13544483,,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
2,,Total England,,4659947,808707,1422052,1139191,741741,1569413,759247,11100298,,2,,,,,,,,,,,,
3,,,Anglia Polytechnic University,31371,5604,11766,7924,5527,2265,16193,80650,,3,,,,,,,,,,,,
4,,,Aston University,20856,3478,6839,5507,5612,4866,2977,50135,,4,,,,,,,,,,,,
5,,,Bath Spa University College,9091,1289,3446,1767,1028,249,2559,19429,,5,,,,,,,,,,,,
6,,,The University of Bath,36445,4959,12443,10689,6804,14224,4931,90495,,6,,,,,,,,,,,,
7,,,Birkbeck College,22289,2376,5704,4814,393,4152,136,39864,,7
8,,,The University of Birmingham,114517,15923,19803,20370,17095,53172,13985,254865,,8
9,,,Bishop Grosseteste College,1858,254,1093,489,635,0,209,4538,,9
10,,,Bolton Institute of Higher Education,11865,2584,5465,2690,1598,471,2838,27511,,10
11,,,Bournemouth University,29596,6171,6021,4686,1942,1599,998,51013,,11
12,,,The University of Bradford,32947,5304,9774,6699,4316,5769,12350,77159,,12
13,,,Bretton Hall College of HE,4951,380,3113,1605,1776,76,2595,14496,,13
14,,,The University of Brighton,38007,6021,10004,10823,7413,3440,1494,77202,,14
15,,,The University of Bristol,80950,12201,17918,13473,9179,43414,11652,188787,,15
16,,,Brunel University,33757,6722,11734,10745,8849,6028,2836,80671,,16
17,,,Buckinghamshire Chilterns University College,19817,2079,10011,2965,2989,1100,2329,41290,,17
18,,,The University of Cambridge,134875,29612,34944,43632,3992,112646,46594,406295,,18
19,,,The Institute of Cancer Research(#1),10990,995,4614,5028,115,21088,0,42830,,19
20,,,Canterbury Christ Church University College,21545,3047,6675,3674,5617,414,2995,43967,,20
21,,,The University of Central England in Birmingham,49059,8138,10205,7530,5553,2572,4411,87468,,21
22,,,The University of Central Lancashire,44792,7398,19354,10399,6053,1719,1777,91492,,22
23,,,Central School of Speech and Drama,2588,318,1490,961,74,0,24,5455,,23
24,,,Chester College of HE,11046,1665,3441,1995,1210,206,2924,22487,,24
25,,,University College Chichester,8119,1682,2937,1850,1925,148,521,17182,,25
26,,,City University,45571,4894,10143,9036,5495,4074,1762,80975,,26
27,,,Coventry University,38973,7042,12836,9359,5072,2290,8160,83732,,27
28,,,Cranfield University,52745,6075,10088,7412,8147,25496,5656,115619,,28
29,,,Cumbria Institute of the Arts(#2),1508,886,1434,623,269,4,370,5094,,29
30,,,Dartington College of Arts,1142,254,1258,317,0,0,193,3164,,30
