,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
59,489.0,0,2003,Year,Technikon SA,TOTAL,TOTAL,   2.2 Non-professional Administrative Employees
60,132.0,0,2003,Year,Technikon SA,MALE,,   2.2 Non-professional Administrative Employees
61,357.0,0,2003,Year,Technikon SA,FEMALE,,   2.2 Non-professional Administrative Employees
62,0.0,0,2003,Year,Technikon SA,UNKNOWN,,   2.2 Non-professional Administrative Employees
63,11.0,0,2003,Year,Technikon SA,,WHITE,   2.3 Crafts/Trades Employees
64,4.0,0,2003,Year,Technikon SA,,COLOURED,   2.3 Crafts/Trades Employees
65,3.0,0,2003,Year,Technikon SA,,INDIAN,   2.3 Crafts/Trades Employees
66,29.0,0,2003,Year,Technikon SA,,AFRICAN,   2.3 Crafts/Trades Employees
67,0.0,0,2003,Year,Technikon SA,,ALL OTHER,   2.3 Crafts/Trades Employees
68,47.0,0,2003,Year,Technikon SA,TOTAL,TOTAL,   2.3 Crafts/Trades Employees
69,41.0,0,2003,Year,Technikon SA,MALE,,   2.3 Crafts/Trades Employees
70,6.0,0,2003,Year,Technikon SA,FEMALE,,   2.3 Crafts/Trades Employees
71,0.0,0,2003,Year,Technikon SA,UNKNOWN,,   2.3 Crafts/Trades Employees
72,2.0,0,2003,Year,Technikon SA,,WHITE,   2.4 Service\Employees
73,3.0,0,2003,Year,Technikon SA,,COLOURED,   2.4 Service\Employees
74,0.0,0,2003,Year,Technikon SA,,INDIAN,   2.4 Service\Employees
75,65.0,0,2003,Year,Technikon SA,,AFRICAN,   2.4 Service\Employees
76,0.0,0,2003,Year,Technikon SA,,ALL OTHER,   2.4 Service\Employees
77,70.0,0,2003,Year,Technikon SA,TOTAL,TOTAL,   2.4 Service\Employees
78,29.0,0,2003,Year,Technikon SA,MALE,,   2.4 Service\Employees
79,41.0,0,2003,Year,Technikon SA,FEMALE,,   2.4 Service\Employees
80,0.0,0,2003,Year,Technikon SA,UNKNOWN,,   2.4 Service\Employees
81,0.0,0,2003,Year,Technikon SA,,WHITE,3.0 Unknown
82,0.0,0,2003,Year,Technikon SA,,COLOURED,3.0 Unknown
83,0.0,0,2003,Year,Technikon SA,,INDIAN,3.0 Unknown
84,0.0,0,2003,Year,Technikon SA,,AFRICAN,3.0 Unknown
85,0.0,0,2003,Year,Technikon SA,,ALL OTHER,3.0 Unknown
86,0.0,0,2003,Year,Technikon SA,TOTAL,TOTAL,3.0 Unknown
87,0.0,0,2003,Year,Technikon SA,MALE,,3.0 Unknown
88,0.0,0,2003,Year,Technikon SA,FEMALE,,3.0 Unknown
89,0.0,0,2003,Year,Technikon SA,UNKNOWN,,3.0 Unknown
90,530.0,0,2003,Year,Technikon SA,,WHITE,9.9 TOTAL
91,105.0,0,2003,Year,Technikon SA,,COLOURED,9.9 TOTAL
92,51.0,0,2003,Year,Technikon SA,,INDIAN,9.9 TOTAL
93,420.0,0,2003,Year,Technikon SA,,AFRICAN,9.9 TOTAL
94,0.0,0,2003,Year,Technikon SA,,ALL OTHER,9.9 TOTAL
95,1106.0,0,2003,Year,Technikon SA,TOTAL,TOTAL,9.9 TOTAL
96,469.0,0,2003,Year,Technikon SA,MALE,,9.9 TOTAL
97,637.0,0,2003,Year,Technikon SA,FEMALE,,9.9 TOTAL
98,0.0,0,2003,Year,Technikon SA,UNKNOWN,,9.9 TOTAL
