,OBS,DATAMARKER,TIME,TIMEUNIT,Institution,Gender,Race,Profession
53,0.0,0,2004,Year,Eastern Cape Technikon,UNKNOWN,,   2.1 Technical Employees
54,4.0,0,2004,Year,Eastern Cape Technikon,,WHITE,   2.2 Non-professional Administrative Employees
55,5.0,0,2004,Year,Eastern Cape Technikon,,COLOURED,   2.2 Non-professional Administrative Employees
56,1.0,0,2004,Year,Eastern Cape Technikon,,INDIAN,   2.2 Non-professional Administrative Employees
57,93.0,0,2004,Year,Eastern Cape Technikon,,AFRICAN,   2.2 Non-professional Administrative Employees
58,0.0,0,2004,Year,Eastern Cape Technikon,,ALL OTHER,   2.2 Non-professional Administrative Employees
59,103.0,0,2004,Year,Eastern Cape Technikon,TOTAL,TOTAL,   2.2 Non-professional Administrative Employees
60,34.0,0,2004,Year,Eastern Cape Technikon,MALE,,   2.2 Non-professional Administrative Employees
61,69.0,0,2004,Year,Eastern Cape Technikon,FEMALE,,   2.2 Non-professional Administrative Employees
62,0.0,0,2004,Year,Eastern Cape Technikon,UNKNOWN,,   2.2 Non-professional Administrative Employees
63,0.0,0,2004,Year,Eastern Cape Technikon,,WHITE,   2.3 Crafts/Trades Employees
64,0.0,0,2004,Year,Eastern Cape Technikon,,COLOURED,   2.3 Crafts/Trades Employees
65,0.0,0,2004,Year,Eastern Cape Technikon,,INDIAN,   2.3 Crafts/Trades Employees
66,0.0,0,2004,Year,Eastern Cape Technikon,,AFRICAN,   2.3 Crafts/Trades Employees
67,0.0,0,2004,Year,Eastern Cape Technikon,,ALL OTHER,   2.3 Crafts/Trades Employees
68,0.0,0,2004,Year,Eastern Cape Technikon,TOTAL,TOTAL,   2.3 Crafts/Trades Employees
69,0.0,0,2004,Year,Eastern Cape Technikon,MALE,,   2.3 Crafts/Trades Employees
70,0.0,0,2004,Year,Eastern Cape Technikon,FEMALE,,   2.3 Crafts/Trades Employees
71,0.0,0,2004,Year,Eastern Cape Technikon,UNKNOWN,,   2.3 Crafts/Trades Employees
