grid,grouping,state,uni_name,year,Women Above Senior Lecturer,Women Senior lecturer (Level C),Women Lecturer (Level B),Women Below lecturer (Level A),Total women academic,Women non-academic,Total women staff,% Women above senior lecturer,% Women Senior lecturer (Level C),% Women Lecturer (Level B),% Women below lecturer (Level A),% women academics,% women non-academic,Total % women staff,All staff above Senior Lecturer,All staff Senior lecturer (Level C),All staff Lecturer (Level B),All staff Below lecturer (Level A),Total All staff academic,All staff Non-academic,Total staff,Women % all Above Senior Lecturer,Women % all Senior lecturer (Level C),Women % all Lecturer (Level B),Women % all Below lecturer (Level A),Women % all staff tacademic,Women % all Non academic,% Men,
grid.1026.5,ATN,SA,University of South Australia,2013,66,137,209,158,570,"1,107","1,677",29.2,42.02,55,60.54,47.78,68.21,59.55,226,326,380,261,1193,"1,623","2,816",2.34,4.87,7.42,5.61,20.24,39.31,40.45,
grid.1026.5,ATN,SA,University of South Australia,2014,71,147,203,170,591,"1,118","1,709",31,44.14,56.39,58.62,48.76,68.46,60.07,229,333,360,290,1212,"1,633","2,845",2.5,5.17,7.14,5.98,20.79,39.3,39.93,
grid.1026.5,ATN,SA,University of South Australia,2015,77,141,187,209,614,"1,097","1,711",34.07,44.76,54.84,60.93,50.12,69.08,60.82,226,315,341,343,1225,"1,588","2,813",2.74,5.01,6.65,7.43,21.83,39,39.18,
grid.1026.5,ATN,SA,University of South Australia,2016,87,145,166,192,590,"1,063","1,653",37.02,46.18,53.21,63.16,50.64,68.76,60.97,235,314,312,304,1165,"1,546","2,711",3.21,5.35,6.12,7.08,21.76,39.21,39.03,
grid.1026.5,ATN,SA,University of South Australia,2017,107,147,169,203,626,"1,066","1,692",40.23,47.42,50.45,62.08,50.57,67.43,60.02,266,310,335,327,1238,"1,581","2,819",3.8,5.21,6,7.2,22.21,37.81,39.98,
grid.1026.5,ATN,SA,University of South Australia,2018,107,134,196,190,627,"1,105","1,732",38.35,44.97,53.55,62.91,50.36,68.08,60.39,279,298,366,302,1245,"1,623","2,868",3.73,4.67,6.83,6.62,21.85,38.53,39.61,
grid.1048.d,RUN,QLD,University of Southern Queensland,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grid.1048.d,RUN,QLD,University of Southern Queensland,2001,12,23,69,49,153,502,655,18.46,25,39.66,46.23,35.01,63.14,53.17,65,92,174,106,437,795,"1,232",0.97,1.87,5.6,3.98,12.42,40.75,46.83,
grid.1048.d,RUN,QLD,University of Southern Queensland,2002,8,21,72,60,161,528,689,14.04,24.14,37.89,52.63,35.94,63.31,53.74,57,87,190,114,448,834,"1,282",0.62,1.64,5.62,4.68,12.56,41.19,46.26,
grid.1048.d,RUN,QLD,University of Southern Queensland,2003,11,27,81,79,198,535,733,16.18,29.67,40.7,54.86,39.44,65.24,55.45,68,91,199,144,502,820,"1,322",0.83,2.04,6.13,5.98,14.98,40.47,44.55,
grid.1048.d,RUN,QLD,University of Southern Queensland,2004,11,26,80,81,198,537,735,15.94,28.57,40.82,56.25,39.6,65.33,55.6,69,91,196,144,500,822,"1,322",0.83,1.97,6.05,6.13,14.98,40.62,44.4,
grid.1048.d,RUN,QLD,University of Southern Queensland,2005,10,30,82,77,199,540,739,13.7,29.7,41.41,64.17,40.45,64.59,55.65,73,101,198,120,492,836,"1,328",0.75,2.26,6.17,5.8,14.98,40.66,44.35,
grid.1048.d,RUN,QLD,University of Southern Queensland,2006,9,33,96,63,201,555,756,13.85,32.04,44.86,55.75,40.61,65.37,56.25,65,103,214,113,495,849,"1,344",0.67,2.46,7.14,4.69,14.96,41.29,43.75,
grid.1048.d,RUN,QLD,University of Southern Queensland,2007,13,36,98,47,194,548,742,15.48,30.77,45.37,54.02,38.49,70.71,58.01,84,117,216,87,504,775,"1,279",1.02,2.81,7.66,3.67,15.16,42.85,41.99,
grid.1048.d,RUN,QLD,University of Southern Queensland,2008,18,33,100,22,173,524,697,21.69,30.56,48.31,47.83,38.96,71.2,59.07,83,108,207,46,444,736,"1,180",1.53,2.8,8.47,1.86,14.66,44.41,40.93,
grid.1048.d,RUN,QLD,University of Southern Queensland,2009,18,30,101,20,169,521,690,22.5,30.3,46.76,57.14,39.3,71.96,59.79,80,99,216,35,430,724,"1,154",1.56,2.6,8.75,1.73,14.64,45.15,40.21,
grid.1048.d,RUN,QLD,University of Southern Queensland,2010,20,32,105,33,190,582,772,22.47,30.19,45.06,66,39.75,73.02,60.55,89,106,233,50,478,797,"1,275",1.57,2.51,8.24,2.59,14.91,45.65,39.45,
grid.1048.d,RUN,QLD,University of Southern Queensland,2011,26,30,106,24,186,617,803,26.53,29.41,47.11,64.86,40.26,73.72,61.82,98,102,225,37,462,837,"1,299",2,2.31,8.16,1.85,14.32,47.5,38.18,
grid.1048.d,RUN,QLD,University of Southern Queensland,2012,31,34,102,31,198,624,822,31,30.91,48.34,70.45,42.58,73.24,62.41,100,110,211,44,465,852,"1,317",2.35,2.58,7.74,2.35,15.02,47.38,37.59,
grid.1048.d,RUN,QLD,University of Southern Queensland,2013,36,46,98,36,216,661,877,33.03,40.71,47.34,63.16,44.44,73.69,63.41,109,113,207,57,486,897,"1,383",2.6,3.33,7.09,2.6,15.62,47.79,36.59,
grid.1048.d,RUN,QLD,University of Southern Queensland,2014,42,45,123,22,232,670,902,34.43,39.47,50.83,51.16,44.53,67.68,59.7,122,114,242,43,521,990,"1,511",2.78,2.98,8.14,1.46,15.36,44.34,40.3,
grid.1048.d,RUN,QLD,University of Southern Queensland,2015,39,59,123,22,243,693,936,30.47,42.14,49.6,42.31,42.78,68.28,59.13,128,140,248,52,568,"1,015","1,583",2.46,3.73,7.77,1.39,15.35,43.78,40.87,
grid.1048.d,RUN,QLD,University of Southern Queensland,2016,43,63,137,14,257,700,957,31.85,43.75,53.31,34.15,44.54,66.73,58.86,135,144,257,41,577,"1,049","1,626",2.64,3.87,8.43,0.86,15.8,43.05,41.14,
grid.1048.d,RUN,QLD,University of Southern Queensland,2017,38,69,146,20,273,681,954,25.68,43.13,54.89,50,44.46,66.76,58.38,148,160,266,40,614,"1,020","1,634",2.33,4.22,8.94,1.22,16.71,41.68,41.62,
grid.1048.d,RUN,QLD,University of Southern Queensland,2018,43,70,144,20,277,622,899,29.05,44.03,57.37,55.56,46.63,64.66,57.78,148,159,251,36,594,962,"1,556",2.76,4.5,9.25,1.29,17.8,39.97,42.22,
grid.1009.8,,TAS,University of Tasmania,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grid.1009.8,,TAS,University of Tasmania,2001,16,35,88,72,211,515,726,13.91,21.47,35.63,53.33,31.97,58.72,47.23,115,163,247,135,660,877,"1,537",1.04,2.28,5.73,4.68,13.73,33.51,52.77,
grid.1009.8,,TAS,University of Tasmania,2002,17,36,99,97,249,574,823,13.6,22.78,39.6,61.39,36.03,60.61,50.24,125,158,250,158,691,947,"1,638",1.04,2.2,6.04,5.92,15.2,35.04,49.76,
grid.1009.8,,TAS,University of Tasmania,2003,18,45,116,89,268,597,865,14.63,26.63,42.8,56.33,37.17,61.48,51.12,123,169,271,158,721,971,"1,692",1.06,2.66,6.86,5.26,15.84,35.28,48.88,
grid.1009.8,,TAS,University of Tasmania,2004,19,48,123,93,283,610,893,15.45,28.07,43.93,55.03,38.09,62.56,51.98,123,171,280,169,743,975,"1,718",1.11,2.79,7.16,5.41,16.47,35.51,48.02,
grid.1009.8,,TAS,University of Tasmania,2005,27,54,139,89,309,633,942,18.88,28.72,46.49,52.66,38.67,62.06,51.79,143,188,299,169,799,"1,020","1,819",1.48,2.97,7.64,4.89,16.98,34.8,48.21,
grid.1009.8,,TAS,University of Tasmania,2006,25,59,153,101,338,684,"1,022",16.67,30.41,49.51,56.42,40.63,62.98,53.28,150,194,309,179,832,"1,086","1,918",1.3,3.08,7.98,5.27,17.63,35.66,46.72,
grid.1009.8,,TAS,University of Tasmania,2007,40,68,171,106,385,742,"1,127",21.39,31.48,50.29,57.92,41.58,64.92,54.47,187,216,340,183,926,"1,143","2,069",1.93,3.29,8.26,5.12,18.6,35.86,45.53,
grid.1009.8,,TAS,University of Tasmania,2008,46,75,194,112,427,800,"1,227",22.55,33.33,47.67,54.63,41.02,63.34,53.26,204,225,407,205,1041,"1,263","2,304",2,3.26,8.42,4.86,18.54,34.72,46.74,
grid.1009.8,,TAS,University of Tasmania,2009,47,96,218,115,476,859,"1,335",22.49,38.25,47.81,54.25,42.2,63.91,54,209,251,456,212,1128,"1,344","2,472",1.9,3.88,8.82,4.65,19.25,34.75,46,
grid.1009.8,,TAS,University of Tasmania,2010,54,103,218,120,495,928,"1,423",25.59,39.46,45.7,55.3,42.45,65.12,54.92,211,261,477,217,1166,"1,425","2,591",2.08,3.98,8.41,4.63,19.1,35.82,45.08,
grid.1009.8,,TAS,University of Tasmania,2011,53,121,223,120,517,939,"1,456",22.55,42.91,47.15,57.69,43.16,63.75,54.51,235,282,473,208,1198,"1,473","2,671",1.98,4.53,8.35,4.49,19.35,35.16,45.49,
grid.1009.8,,TAS,University of Tasmania,2012,56,120,255,120,551,958,"1,509",22.95,43.48,49.9,60.3,44.8,62.66,54.69,244,276,511,199,1230,"1,529","2,759",2.03,4.35,9.24,4.35,19.97,34.72,45.31,
grid.1009.8,,TAS,University of Tasmania,2013,60,134,252,96,542,914,"1,456",25.21,47.69,50.5,53.33,45.24,62.35,54.65,238,281,499,180,1198,"1,466","2,664",2.25,5.03,9.46,3.6,20.34,34.31,45.35,
grid.1009.8,,TAS,University of Tasmania,2014,65,128,251,86,530,930,"1,460",26.32,47.41,48.83,51.19,44.2,61.67,53.93,247,270,514,168,1199,"1,508","2,707",2.4,4.73,9.27,3.18,19.58,34.36,46.07,
grid.1009.8,,TAS,University of Tasmania,2015,66,136,240,83,525,965,"1,490",26.19,49.45,48.98,53.21,44.76,62.95,55.06,252,275,490,156,1173,"1,533","2,706",2.44,5.03,8.87,3.07,19.41,35.66,44.94,
grid.1009.8,,TAS,University of Tasmania,2016,73,142,259,80,554,995,"1,549",27.55,48.63,51.7,53.69,45.9,62.82,55.5,265,292,501,149,1207,"1,584","2,791",2.62,5.09,9.28,2.87,19.86,35.65,44.5,
grid.1009.8,,TAS,University of Tasmania,2017,83,145,257,100,585,987,"1,572",31.92,46.47,52.56,58.48,47.48,62.83,56.08,260,312,489,171,1232,"1,571","2,803",2.96,5.17,9.17,3.57,20.87,35.21,43.92,
grid.1009.8,,TAS,University of Tasmania,2018,92,143,265,86,586,"1,003","1,589",35.8,46.43,52.89,49.43,47.26,62.61,55.91,257,308,501,174,1240,"1,602","2,842",3.24,5.03,9.32,3.03,20.62,35.29,44.09,
grid.117476.2,ATN,NSW,University of Technology Sydney,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grid.117476.2,ATN,NSW,University of Technology Sydney,2001,35,90,132,19,276,640,916,22.88,35.43,47.14,57.58,38.33,57.04,49.73,153,254,280,33,720,"1,122","1,842",1.9,4.89,7.17,1.03,14.99,34.74,50.27,
grid.117476.2,ATN,NSW,University of Technology Sydney,2002,43,97,125,26,291,685,976,26.22,36.88,44.96,50.98,38.49,56.71,49.69,164,263,278,51,756,"1,208","1,964",2.19,4.94,6.36,1.32,14.81,34.88,50.31,
grid.117476.2,ATN,NSW,University of Technology Sydney,2003,46,106,131,41,324,695,"1,019",25.99,36.81,46.79,59.42,39.8,56.09,49.63,177,288,280,69,814,"1,239","2,053",2.24,5.16,6.38,2,15.78,33.85,50.37,
grid.117476.2,ATN,NSW,University of Technology Sydney,2004,45,110,151,33,339,729,"1,068",25.28,37.16,48.24,41.77,39.15,55.95,49.24,178,296,313,79,866,"1,303","2,169",2.07,5.07,6.96,1.52,15.62,33.61,50.76,
grid.117476.2,ATN,NSW,University of Technology Sydney,2005,60,101,151,33,345,743,"1,088",30.3,36.86,47.34,45.83,39.98,56.72,50.07,198,274,319,72,863,"1,310","2,173",2.76,4.65,6.95,1.52,15.88,34.19,49.93,
grid.117476.2,ATN,NSW,University of Technology Sydney,2006,67,109,143,33,352,754,"1,106",31.02,40.07,45.98,45.83,40.41,57.29,50.57,216,272,311,72,871,"1,316","2,187",3.06,4.98,6.54,1.51,16.09,34.48,49.43,
grid.117476.2,ATN,NSW,University of Technology Sydney,2007,74,111,139,35,359,710,"1,069",32.17,39.93,46.8,44.87,40.66,57.07,50.26,230,278,297,78,883,"1,244","2,127",3.48,5.22,6.54,1.65,16.89,33.38,49.74,
grid.117476.2,ATN,NSW,University of Technology Sydney,2008,75,120,142,40,377,717,"1,094",34.4,40.4,49.48,49.38,42.7,57.04,51.12,218,297,287,81,883,"1,257","2,140",3.5,5.61,6.64,1.87,17.62,33.5,48.88,
grid.117476.2,ATN,NSW,University of Technology Sydney,2009,86,126,153,44,409,767,"1,176",35.68,41.86,51.34,55,44.46,58.11,52.5,241,301,298,80,920,"1,320","2,240",3.84,5.63,6.83,1.96,18.26,34.24,47.5,
grid.117476.2,ATN,NSW,University of Technology Sydney,2010,83,140,161,35,419,835,"1,254",33.47,44.59,49.39,48.61,43.65,58.97,52.78,248,314,326,72,960,"1,416","2,376",3.49,5.89,6.78,1.47,17.63,35.14,47.22,
grid.117476.2,ATN,NSW,University of Technology Sydney,2011,88,146,165,31,430,870,"1,300",33.59,44.79,47.97,44.93,42.96,59.59,52.82,262,326,344,69,1001,"1,460","2,461",3.58,5.93,6.7,1.26,17.47,35.35,47.18,
grid.117476.2,ATN,NSW,University of Technology Sydney,2012,93,142,174,36,445,925,"1,370",32.52,44.79,48.47,45,42.71,59.11,52.55,286,317,359,80,1042,"1,565","2,607",3.57,5.45,6.67,1.38,17.07,35.48,47.45,
grid.117476.2,ATN,NSW,University of Technology Sydney,2013,108,137,174,47,466,971,"1,437",34.73,44.05,48.47,50.54,43.39,59.86,53.3,311,311,359,93,1074,"1,622","2,696",4.01,5.08,6.45,1.74,17.28,36.02,46.7,
grid.117476.2,ATN,NSW,University of Technology Sydney,2014,107,128,176,43,454,961,"1,415",32.82,42.52,47.31,47.25,41.65,60.18,52.66,326,301,372,91,1090,"1,597","2,687",3.98,4.76,6.55,1.6,16.89,35.76,47.34,
grid.117476.2,ATN,NSW,University of Technology Sydney,2015,113,138,179,58,488,992,"1,480",32.19,45.7,49.72,50.43,43.26,60.41,53.43,351,302,360,115,1128,"1,642","2,770",4.08,4.98,6.46,2.09,17.61,35.81,46.57,
grid.117476.2,ATN,NSW,University of Technology Sydney,2016,133,142,189,53,517,"1,026","1,543",33.17,47.18,48.96,46.49,43.01,60.32,53.15,401,301,386,114,1202,"1,701","2,903",4.58,4.89,6.51,1.83,17.81,35.34,46.85,
grid.117476.2,ATN,NSW,University of Technology Sydney,2017,153,144,209,76,582,"1,105","1,687",33.63,46.3,48.38,51.01,43.21,60.51,53.17,455,311,432,149,1347,"1,826","3,173",4.82,4.54,6.59,2.4,18.35,34.83,46.83,
grid.117476.2,ATN,NSW,University of Technology Sydney,2018,175,149,236,71,631,"1,154","1,785",34.65,46.27,48.56,44.94,42.9,60.64,52.9,505,322,486,158,1471,"1,903","3,374",5.19,4.42,6.99,2.1,18.7,34.2,47.1,
grid.1034.6,RUN,QLD,University of the Sunshine Coast,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grid.1034.6,RUN,QLD,University of the Sunshine Coast,2001,,8,28,13,49,99,148,0,40,59.57,65,52.13,68.75,62.18,7,20,47,20,94,144,238,0,3.36,11.76,5.46,20.58,41.6,37.82,
grid.1034.6,RUN,QLD,University of the Sunshine Coast,2002,2,8,28,8,46,117,163,22.22,42.11,53.85,66.67,50,65.36,60.15,9,19,52,12,92,179,271,0.74,2.95,10.33,2.95,16.97,43.17,39.85,
grid.1034.6,RUN,QLD,University of the Sunshine Coast,2003,,11,28,7,46,144,190,0,45.83,52.83,58.33,45.54,68.57,61.09,12,24,53,12,101,210,311,0,3.54,9,2.25,14.79,46.3,38.91,
grid.1034.6,RUN,QLD,University of the Sunshine Coast,2004,,13,25,9,47,141,188,0,44.83,53.19,60,46.08,64.98,58.93,11,29,47,15,102,217,319,0,4.08,7.84,2.82,14.74,44.2,41.07,
grid.1034.6,RUN,QLD,University of the Sunshine Coast,2005,3,13,28,9,53,163,216,17.65,37.14,54.9,64.29,45.3,66.26,59.5,17,35,51,14,117,246,363,0.83,3.58,7.71,2.48,14.6,44.9,40.5,
grid.1034.6,RUN,QLD,University of the Sunshine Coast,2006,9,15,28,11,63,183,246,34.62,37.5,56,73.33,48.09,69.32,62.28,26,40,50,15,131,264,395,2.28,3.8,7.09,2.78,15.95,46.33,37.72,
grid.1034.6,RUN,QLD,University of the Sunshine Coast,2007,12,12,34,15,73,216,289,44.44,27.91,59.65,71.43,49.32,72.24,64.65,27,43,57,21,148,299,447,2.68,2.68,7.61,3.36,16.33,48.32,35.35,
grid.1034.6,RUN,QLD,University of the Sunshine Coast,2008,14,14,40,23,91,228,319,35.9,29.17,59.7,65.71,48.15,71.92,63.04,39,48,67,35,189,317,506,2.77,2.77,7.91,4.55,18,45.06,36.96,
grid.1034.6,RUN,QLD,University of the Sunshine Coast,2009,13,16,39,33,101,255,356,29.55,34.04,59.09,71.74,49.75,70.83,63.23,44,47,66,46,203,360,563,2.31,2.84,6.93,5.86,17.94,45.29,36.77,
grid.1034.6,RUN,QLD,University of the Sunshine Coast,2010,15,23,54,23,115,273,388,31.91,46,63.53,56.1,51.57,71.28,64.03,47,50,85,41,223,383,606,2.48,3.8,8.91,3.8,18.99,45.05,35.97,
grid.1034.6,RUN,QLD,University of the Sunshine Coast,2011,16,22,54,25,117,293,410,32.65,40,59.34,67.57,50.43,70.43,63.27,49,55,91,37,232,416,648,2.47,3.4,8.33,3.86,18.06,45.22,36.73,
grid.1034.6,RUN,QLD,University of the Sunshine Coast,2012,20,26,57,31,134,304,438,37.74,45.61,57.58,67.39,52.55,70.86,64.04,53,57,99,46,255,429,684,2.92,3.8,8.33,4.53,19.58,44.44,35.96,
grid.1034.6,RUN,QLD,University of the Sunshine Coast,2013,23,21,64,34,142,355,497,38.33,37.5,59.26,64.15,51.26,71.29,64.13,60,56,108,53,277,498,775,2.97,2.71,8.26,4.39,18.33,45.81,35.87,
grid.1034.6,RUN,QLD,University of the Sunshine Coast,2014,21,32,66,45,164,395,559,32.81,45.07,55.93,65.22,50.93,70.66,63.45,64,71,118,69,322,559,881,2.38,3.63,7.49,5.11,18.61,44.84,36.55,
grid.1034.6,RUN,QLD,University of the Sunshine Coast,2015,28,29,74,50,181,414,595,35,39.73,57.36,64.94,50.42,70.29,62.76,80,73,129,77,359,589,948,2.95,3.06,7.81,5.27,19.09,43.67,37.24,
grid.1034.6,RUN,QLD,University of the Sunshine Coast,2016,27,36,84,59,206,416,622,33.33,40,58.74,72.84,52.15,69.57,62.64,81,90,143,81,395,598,993,2.72,3.63,8.46,5.94,20.75,41.89,37.36,
grid.1034.6,RUN,QLD,University of the Sunshine Coast,2017,31,40,94,56,221,432,653,31.63,40.4,60.65,71.79,51.4,68.68,61.66,98,99,155,78,430,629,"1,059",2.93,3.78,8.88,5.29,20.88,40.79,38.34,
grid.1034.6,RUN,QLD,University of the Sunshine Coast,2018,44,51,106,48,249,507,756,37.61,45.54,61.99,73.85,53.55,71.01,64.12,117,112,171,65,465,714,"1,179",3.73,4.33,8.99,4.07,21.12,43,35.88,
grid.1007.6,,NSW,University of Wollongong,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grid.1007.6,,NSW,University of Wollongong,2001,26,48,98,27,199,470,669,14.53,30.97,47.12,38.03,32.46,60.88,48.3,179,155,208,71,613,772,"1,385",1.88,3.47,7.08,1.95,14.38,33.94,51.7,
grid.1007.6,,NSW,University of Wollongong,2002,32,42,103,26,203,470,673,17.3,29.37,44.98,36.62,32.32,59.95,47.66,185,143,229,71,628,784,"1,412",2.27,2.97,7.29,1.84,14.37,33.29,52.34,
grid.1007.6,,NSW,University of Wollongong,2003,35,45,108,36,224,489,713,18.13,30,45.76,39.56,33.43,60.59,48.27,193,150,236,91,670,807,"1,477",2.37,3.05,7.31,2.44,15.17,33.11,51.73,
grid.1007.6,,NSW,University of Wollongong,2004,43,46,117,35,241,503,744,20.09,28.4,46.43,35.71,33.2,59.88,47.51,214,162,252,98,726,840,"1,566",2.75,2.94,7.47,2.23,15.39,32.12,52.49,
grid.1007.6,,NSW,University of Wollongong,2005,44,51,123,37,255,470,725,20.09,29.65,46.24,43.53,34.37,58.24,46.8,219,172,266,85,742,807,"1,549",2.84,3.29,7.94,2.39,16.46,30.34,53.2,
grid.1007.6,,NSW,University of Wollongong,2006,48,58,137,52,295,487,782,21.05,32.95,47.9,50,37.15,59.75,48.6,228,176,286,104,794,815,"1,609",2.98,3.6,8.51,3.23,18.32,30.27,51.4,
grid.1007.6,,NSW,University of Wollongong,2007,54,70,139,59,322,515,837,22.59,35.35,48.26,52.21,38.42,59.95,49.32,239,198,288,113,838,859,"1,697",3.18,4.12,8.19,3.48,18.97,30.35,50.68,
grid.1007.6,,NSW,University of Wollongong,2008,54,78,149,50,331,565,896,20.93,37.32,48.53,56.82,38.4,62.57,50.76,258,209,307,88,862,903,"1,765",3.06,4.42,8.44,2.83,18.75,32.01,49.24,
grid.1007.6,,NSW,University of Wollongong,2009,57,83,169,59,368,622,990,21.03,39.15,48.7,59,39.57,64.12,52.11,271,212,347,100,930,970,"1,900",3,4.37,8.89,3.11,19.37,32.74,47.89,
grid.1007.6,,NSW,University of Wollongong,2010,65,86,167,59,377,657,"1,034",23.05,37.23,50,59,39.81,64.1,52.43,282,231,334,100,947,"1,025","1,972",3.3,4.36,8.47,2.99,19.12,33.32,47.57,
grid.1007.6,,NSW,University of Wollongong,2011,70,94,197,62,423,712,"1,135",24.05,37.01,51.98,58.49,41.07,65.08,53.44,291,254,379,106,1030,"1,094","2,124",3.3,4.43,9.27,2.92,19.92,33.52,46.56,
grid.1007.6,,NSW,University of Wollongong,2012,77,102,183,59,421,760,"1,181",25.25,38.93,50,52.21,40.25,66.14,53.8,305,262,366,113,1046,"1,149","2,195",3.51,4.65,8.34,2.69,19.19,34.62,46.2,
grid.1007.6,,NSW,University of Wollongong,2013,87,96,173,45,401,808,"1,209",26.93,38.4,47.01,47.37,38.71,65.53,53.28,323,250,368,95,1036,"1,233","2,269",3.83,4.23,7.62,1.98,17.66,35.61,46.72,
grid.1007.6,,NSW,University of Wollongong,2014,91,120,168,57,436,889,"1,325",28.53,41.38,45.53,43.85,39.35,66.79,54.33,319,290,369,130,1108,"1,331","2,439",3.73,4.92,6.89,2.34,17.88,36.45,45.67,
grid.1007.6,,NSW,University of Wollongong,2015,101,132,161,59,453,894,"1,347",30.06,42.86,47.35,44.03,40.52,67.37,55.09,336,308,340,134,1118,"1,327","2,445",4.13,5.4,6.58,2.41,18.52,36.56,44.91,
grid.1007.6,,NSW,University of Wollongong,2016,102,130,151,54,437,898,"1,335",31.1,43.48,50.33,41.22,41.3,68.65,56.42,328,299,300,131,1058,"1,308","2,366",4.31,5.49,6.38,2.28,18.46,37.95,43.58,
grid.1007.6,,NSW,University of Wollongong,2017,103,142,156,63,464,922,"1,386",30.84,43.83,53.42,44.68,42.53,68.75,56.99,334,324,292,141,1091,"1,341","2,432",4.24,5.84,6.41,2.59,19.08,37.91,43.01,
grid.1007.6,,NSW,University of Wollongong,2018,118,139,170,63,490,993,"1,483",33.05,44.55,52.31,45,43.21,69.15,57.7,357,312,325,140,1134,"1,436","2,570",4.59,5.41,6.61,2.45,19.06,38.64,42.3,
grid.1019.9,,VIC,Victoria University,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grid.1019.9,,VIC,Victoria University,2001,19,55,108,34,216,445,661,18.1,33.33,45.19,53.97,37.76,65.54,52.84,105,165,239,63,572,679,"1,251",1.52,4.4,8.63,2.72,17.27,35.57,47.16,
grid.1019.9,,VIC,Victoria University,2002,20,58,102,25,205,453,658,15.5,36.71,44.93,50,36.35,64.53,51.97,129,158,227,50,564,702,"1,266",1.58,4.58,8.06,1.97,16.19,35.78,48.03,
grid.1019.9,,VIC,Victoria University,2003,24,56,100,29,209,483,692,16.67,33.73,46.73,51.79,36.03,66.71,53.07,144,166,214,56,580,724,"1,304",1.84,4.29,7.67,2.22,16.02,37.04,46.93,
grid.1019.9,,VIC,Victoria University,2004,28,58,99,31,216,499,715,17.95,33.53,47.6,48.44,35.94,66.62,52.96,156,173,208,64,601,749,"1,350",2.07,4.3,7.33,2.3,16,36.96,47.04,
grid.1019.9,,VIC,Victoria University,2005,25,57,99,29,210,545,755,20.16,33.73,46.05,54.72,37.43,67.96,55.39,124,169,215,53,561,802,"1,363",1.83,4.18,7.26,2.13,15.4,39.99,44.61,
grid.1019.9,,VIC,Victoria University,2006,29,63,107,47,246,580,826,22.48,36,45.15,52.81,39.05,67.84,55.62,129,175,237,89,630,855,"1,485",1.95,4.24,7.21,3.16,16.56,39.06,44.38,
grid.1019.9,,VIC,Victoria University,2007,28,66,138,48,280,716,996,22.76,39.29,53.28,56.47,44.09,69.45,59.78,123,168,259,85,635,"1,031","1,666",1.68,3.96,8.28,2.88,16.8,42.98,40.22,
grid.1019.9,,VIC,Victoria University,2008,31,60,129,39,259,757,"1,016",23.48,36.81,47.43,46.43,39.78,68.44,57.83,132,163,272,84,651,"1,106","1,757",1.76,3.41,7.34,2.22,14.73,43.08,42.17,
grid.1019.9,,VIC,Victoria University,2009,33,56,128,38,255,776,"1,031",25.78,36.13,49.61,39.58,40.03,67.3,57.6,128,155,258,96,637,"1,153","1,790",1.84,3.13,7.15,2.12,14.24,43.35,42.4,
grid.1019.9,,VIC,Victoria University,2010,39,57,138,49,283,817,"1,100",28.47,40.43,52.87,43.75,43.47,68.71,59.78,137,141,261,112,651,"1,189","1,840",2.12,3.1,7.5,2.66,15.38,44.4,40.22,
grid.1019.9,,VIC,Victoria University,2011,32,53,141,54,280,843,"1,123",24.24,38.97,51.46,49.54,43.01,67.66,59.2,132,136,274,109,651,"1,246","1,897",1.69,2.79,7.43,2.85,14.76,44.44,40.8,
grid.1019.9,,VIC,Victoria University,2012,43,59,146,56,304,788,"1,092",29.45,38.31,50,47.06,42.76,65.39,56.99,146,154,292,119,711,"1,205","1,916",2.24,3.08,7.62,2.92,15.86,41.13,43.01,
grid.1019.9,,VIC,Victoria University,2013,43,60,135,50,288,747,"1,035",30.07,41.96,50.37,48.54,43.84,65.64,57.66,143,143,268,103,657,"1,138","1,795",2.4,3.34,7.52,2.79,16.05,41.62,42.34,
grid.1019.9,,VIC,Victoria University,2014,51,81,141,61,334,761,"1,095",29.48,47.65,48.79,61,45.63,64.93,57.51,173,170,289,100,732,"1,172","1,904",2.68,4.25,7.41,3.2,17.54,39.97,42.49,
grid.1019.9,,VIC,Victoria University,2015,50,75,137,61,323,715,"1,038",30.12,47.77,51.7,55.45,46.28,65.66,58.09,166,157,265,110,698,"1,089","1,787",2.8,4.2,7.67,3.41,18.08,40.01,41.91,
grid.1019.9,,VIC,Victoria University,2016,51,74,143,60,328,668,996,30.54,46.54,52,55.56,46.26,66.67,58.21,167,159,275,108,709,"1,002","1,711",2.98,4.32,8.36,3.51,19.17,39.04,41.79,
grid.1019.9,,VIC,Victoria University,2017,51,68,136,61,316,650,966,30.54,45.64,52.11,61,46.68,66.8,58.55,167,149,261,100,677,973,"1,650",3.09,4.12,8.24,3.7,19.15,39.39,41.45,
grid.1019.9,,VIC,Victoria University,2018,37,63,93,72,265,676,941,29.6,50.4,51.96,61.54,48.53,67.2,60.63,125,125,179,117,546,"1,006","1,552",2.38,4.06,5.99,4.64,17.07,43.56,39.37,
grid.1029.a,,NSW,Western Sydney University,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
