,,,,51 Central Libraries & Information Services,,,,,,52 Central Computer & Computer Networks,,,,,,53 Other Academic Services,,,,,,Total Academic Services,,,,,,54a Central Administration & Services,,,,,,54b General Educational Expenditure,,,,,,55 Staff & Student Facilities,,,,,,Total Administration & Central Services,,,,,,Total Academic Services & Administration & Central Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Academic               staff costs,Other                    staff costs,Other operating expenses,Depreciation,Total expenditure,,Academic               staff costs,Other                    staff costs,Other operating expenses,Depreciation,Total expenditure,,Academic               staff costs,Other                    staff costs,Other operating expenses,Depreciation,Total expenditure,,Academic               staff costs,Other                    staff costs,Other operating expenses,Depreciation,Total expenditure,,Academic               staff costs,Other                    staff costs,Other operating expenses,Depreciation,Total expenditure,,Academic               staff costs,Other                    staff costs,Other operating expenses,Depreciation,Total expenditure,,Academic               staff costs,Other                    staff costs,Other operating expenses,Depreciation,Total expenditure,,Academic               staff costs,Other                    staff costs,Other operating expenses,Depreciation,Total expenditure,,Academic               staff costs,Other                    staff costs,Other operating expenses,Depreciation,Total expenditure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,Total UK,,17007,261601,244486,14025,537119,,9836,179603,130943,35776,356158,,16715,103704,78537,3551,202507,,43558,544908,453966,53352,1095784,,65773,660378,461133,34189,1221473,,7371,66406,246931,687,321395,,11615,148968,133592,3296,297471,,84759,875752,841656,38172,1840339,,128317,1420660,1295622,91524,2936123,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,Total England,,14894,212527,200985,8786,437192,,9173,146890,108941,29864,294868,,14636,80417,63198,2939,161190,,38703,439834,373124,41589,893250,,57278,543005,396379,27179,1023841,,6430,53095,201257,396,261178,,10543,121241,112441,2678,246903,,74251,717341,710077,30253,1531922,,112954,1157175,1083201,71842,2425172,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,Canterbury Christ Church University College,57,826,640,1,1524,,59,863,554,298,1774,,48,14,3,0,65,,164,1703,1197,299,3363,,397,2811,2841,408,6457,,33,315,110,0,458,,37,357,297,6,697,,467,3483,3248,414,7612,,631,5186,4445,713,10975,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,The University of Central England in Birmingham,112,2108,1513,142,3875,,0,1266,2189,422,3877,,0,0,0,0,0,,112,3374,3702,564,7752,,346,3027,1815,396,5584,,0,7,146,0,153,,530,2711,2056,0,5297,,876,5745,4017,396,11034,,988,9119,7719,960,18786,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,The University of Central Lancashire,131,2255,1807,59,4252,,0,941,1222,643,2806,,0,256,299,0,555,,131,3452,3328,702,7613,,69,6645,5864,427,13005,,18,393,1861,0,2272,,68,1843,1725,272,3908,,155,8881,9450,699,19185,,286,12333,12778,1401,26798,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,Central School of Speech and Drama,0,127,36,3,166,,0,58,16,5,79,,0,26,5,6,37,,0,211,57,14,282,,0,725,509,91,1325,,0,0,168,0,168,,0,31,46,0,77,,0,756,723,91,1570,,0,967,780,105,1852,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,Chester College of HE,50,716,562,16,1344,,0,294,347,7,648,,0,0,0,0,0,,50,1010,909,23,1992,,202,1660,536,58,2456,,0,92,700,0,792,,84,418,301,0,803,,286,2170,1537,58,4051,,336,3180,2446,81,6043,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,University College Chichester,0,916,500,290,1706,,0,0,0,0,0,,0,0,0,0,0,,0,916,500,290,1706,,0,784,627,44,1455,,0,628,344,1,973,,28,178,157,1,364,,28,1590,1128,46,2792,,28,2506,1628,336,4498,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,City University,0,1164,1404,33,2601,,0,1130,497,196,1823,,0,169,110,0,279,,0,2463,2011,229,4703,,287,5163,2880,316,8646,,0,96,1904,0,2000,,206,1017,746,40,2009,,493,6276,5530,356,12655,,493,8739,7541,585,17358,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,Conservatoire for Dance and Drama(#1),0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,16,42,0,58,,0,0,20,0,20,,0,0,0,0,0,,0,16,62,0,78,,0,16,62,0,78,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,Coventry University,0,1799,1383,11,3193,,0,1939,455,886,3280,,0,485,192,15,692,,0,4223,2030,912,7165,,0,3946,2031,94,6071,,0,826,3213,5,4044,,0,1478,811,19,2308,,0,6250,6055,118,12423,,0,10473,8085,1030,19588,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,Cranfield University,0,1350,1539,0,2889,,0,1308,1650,0,2958,,0,288,194,0,482,,0,2946,3383,0,6329,,0,5580,4083,0,9663,,0,0,0,0,0,,0,359,284,0,643,,0,5939,4367,0,10306,,0,8885,7750,0,16635,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
