1,,Total UK,,364990,109261,82421,10167,566839,,41740,9629,6437,745,58551,,18578,13558,9526,743,42405,,28155,12371,8204,1071,49801,,246787,69065,78986,3940,398778,,83809,20192,24685,978,129664,,90383,22519,23452,1560,137914,,22678,9322,12238,1291,45529,,8852,4202,2684,220,15958,,197420,90856,69347,10755,368378,,71730,32204,31482,7620,143036,,68909,27574,23814,5532,125829,,34400,17543,16604,1145,69692,,70156,26406,29671,3485,129718,,2950,484,359,81,3874,,77651,34508,36824,4063,153046,,16337,8299,6618,623,31877,,22228,12589,10089,2441,47347,,42720,17695,13819,1238,75472,,87484,34905,33703,4582,160674,,81430,38490,34726,3565,158211,,2416,690,1170,138,4414,,73199,18000,19889,1129,112217,,92590,15095,18036,1986,127707,,61574,16192,19845,2554,100165,,19875,6442,6875,512,33704,,315626,83135,139768,4770,543299,,48142,13148,12364,821,74475,,320394,56503,69605,2272,448774,,50776,14902,16918,1803,84399,,105357,17565,19450,554,142926,,163846,25405,32007,1063,222321,,196710,68667,68944,7666,341987,,193598,51925,106888,2164,354575,,60889,12100,10824,390,84203,,27361,5414,5382,143,38300,,12411,2674,3579,153,18817,,30754,7331,10123,1270,49478,,115312,34540,41610,5098,196560,,29169,24448,31777,171,85565,,3599386,1085848,1190743,100502,5976479,,1
7,,,Birkbeck College,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,1094,251,330,111,1786,,0,0,0,0,0,,0,0,0,0,0,,1079,631,432,6,2148,,501,206,198,11,916,,4,0,1,0,5,,0,0,0,0,0,,285,187,179,8,659,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,103,55,42,2,202,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,239,0,30,0,269,,0,0,0,0,0,,0,0,0,0,0,,1198,174,396,2,1770,,393,81,54,0,528,,2481,310,387,0,3178,,0,0,0,0,0,,416,52,30,0,498,,2212,306,233,0,2751,,0,0,0,0,0,,0,0,0,0,0,,1778,221,143,0,2142,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,951,488,206,32,1677,,2287,1624,1338,0,5249,,15021,4586,3999,172,23778,,7
8,,,The University of Birmingham,13762,3632,2371,536,20301,,2474,703,296,168,3641,,0,0,0,0,0,,1168,591,194,63,2016,,1462,209,178,44,1893,,1646,331,513,32,2522,,1587,461,619,66,2733,,0,0,0,0,0,,307,83,81,5,476,,2948,1570,924,267,5709,,1951,588,911,676,4126,,2212,862,1111,208,4393,,0,0,0,0,0,,939,363,421,110,1833,,0,0,0,0,0,,0,0,0,0,0,,1446,685,1144,266,3541,,1097,436,885,233,2651,,1148,412,616,62,2238,,1087,665,875,230,2857,,1361,804,883,213,3261,,0,0,0,0,0,,0,0,0,0,0,,1693,144,337,42,2216,,0,0,0,0,0,,0,0,0,0,0,,2422,769,1760,103,5054,,1354,368,433,47,2202,,7522,2083,4741,353,14699,,0,0,0,0,0,,1673,773,831,110,3387,,4333,599,848,97,5877,,746,180,358,38,1322,,4929,1822,3096,185,10032,,1263,648,245,8,2164,,235,30,49,3,317,,102,-59,89,14,146,,824,241,411,86,1562,,1251,336,919,281,2787,,0,0,0,19,19,,64942,20329,26139,4565,115975,,8
9,,,Bishop Grosseteste College,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,55,0,3,2,60,,58,0,8,1,67,,62,0,12,2,76,,1414,119,426,27,1986,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,1589,119,449,32,2189,,9
10,,,Bolton Institute of Higher Education,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,599,140,76,0,815,,767,179,81,16,1043,,0,0,0,0,0,,0,0,0,0,0,,220,51,19,12,302,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,388,169,112,48,717,,376,120,48,2,546,,712,237,201,9,1159,,819,261,122,16,1218,,0,0,0,0,0,,304,97,41,2,444,,49,11,3,0,63,,196,46,17,0,259,,0,0,0,0,0,,1156,274,245,0,1675,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,735,173,80,0,988,,737,178,138,0,1053,,771,180,207,0,1158,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,62,15,32,0,109,,382,124,48,2,556,,0,0,0,0,0,,8273,2255,1470,107,12105,,10
11,,,The Arts Institute at Bournemouth(#1),0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,58,0,3,0,61,,0,0,0,0,0,,85,6,24,0,115,,0,0,0,0,0,,0,0,0,0,0,,497,265,172,0,934,,0,0,0,0,0,,0,0,0,0,0,,1240,393,279,0,1912,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,1880,664,478,0,3022,,11
12,,,Bournemouth University,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,3027,686,1482,71,5266,,983,252,537,24,1796,,163,46,104,19,332,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,429,101,166,10,706,,534,105,241,28,908,,0,0,0,0,0,,921,159,491,91,1662,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,710,211,372,87,1380,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,690,144,426,23,1283,,636,133,215,14,998,,3512,1078,1428,183,6201,,0,0,0,0,0,,556,131,124,17,828,,1971,326,573,262,3132,,21,7,14,1,43,,0,0,0,0,0,,207,0,109,26,342,,108,0,34,0,142,,187,63,128,7,385,,0,0,0,0,0,,643,151,372,52,1218,,24,7,11,0,42,,2256,423,1084,274,4037,,0,0,0,0,0,,17578,4023,7911,1189,30701,,12
13,,,The University of Bradford,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,724,137,337,27,1225,,3958,475,1198,17,5648,,547,67,93,0,707,,0,0,0,0,0,,2064,570,655,44,3333,,0,0,0,0,0,,936,317,279,23,1555,,409,237,104,34,784,,0,0,0,0,0,,0,0,0,0,0,,1423,358,295,14,2090,,0,0,0,0,0,,475,68,58,0,601,,461,133,70,0,664,,0,0,0,0,0,,525,127,136,0,788,,1236,270,403,46,1955,,1348,262,322,130,2062,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,2576,455,1552,47,4630,,0,0,0,0,0,,2066,239,408,0,2713,,0,0,0,0,0,,614,79,151,0,844,,320,26,60,0,406,,0,0,0,0,0,,0,0,0,0,0,,680,116,175,2,973,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,1614,244,717,9,2584,,842,220,609,0,1671,,22818,4400,7622,393,35233,,13
14,,,The University of Brighton,65,38,130,0,233,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,5214,1380,1878,8,8480,,492,115,131,0,738,,0,0,0,0,0,,530,296,318,13,1157,,0,0,0,0,0,,836,420,467,18,1741,,181,101,109,5,396,,45,29,19,3,96,,0,0,0,0,0,,323,80,120,2,525,,0,0,0,0,0,,1017,662,436,123,2238,,0,0,0,0,0,,0,0,0,0,0,,493,122,183,4,802,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,1018,377,452,3,1850,,659,116,102,0,877,,1159,719,290,0,2168,,410,153,93,0,656,,3072,980,739,0,4791,,323,80,120,2,525,,455,118,89,0,662,,0,0,0,0,0,,240,54,103,0,397,,322,67,55,0,444,,2580,1112,834,1,4527,,2624,835,874,3,4336,,751,170,323,0,1244,,98,22,42,0,162,,0,0,0,0,0,,690,209,241,9,1149,,608,107,94,0,809,,0,0,0,0,0,,24205,8362,8242,194,41003,,14
15,,,The University of Bristol,12822,3864,2248,209,19143,,1963,1242,283,82,3570,,2720,2010,900,163,5793,,1212,607,241,41,2101,,0,0,0,0,0,,2280,712,806,5,3803,,820,251,194,29,1294,,0,0,0,0,0,,562,202,238,28,1030,,3093,1255,621,254,5223,,2418,1186,480,698,4782,,2001,811,283,243,3338,,0,0,0,0,0,,2193,753,521,410,3877,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,796,360,289,66,1511,,1193,607,554,206,2560,,1667,1097,702,87,3553,,0,0,0,0,0,,0,0,0,0,0,,1842,262,311,105,2520,,0,0,0,0,0,,0,0,0,0,0,,354,48,783,2,1187,,0,0,0,0,0,,4106,600,891,38,5635,,0,0,0,0,0,,1391,148,112,0,1651,,2289,154,188,2,2633,,842,440,288,54,1624,,1583,818,1678,24,4103,,1473,404,422,0,2299,,675,136,167,0,978,,430,64,241,6,741,,0,0,0,0,0,,1142,231,310,175,1858,,0,0,0,0,0,,51867,18262,13751,2927,86807,,15
16,,,Brunel University,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,2383,230,346,7,2966,,726,122,128,0,976,,894,218,65,0,1177,,0,0,0,0,0,,0,0,0,0,0,,1044,477,191,84,1796,,0,0,0,6,6,,0,0,0,6,6,,0,0,0,0,0,,273,31,59,4,367,,0,0,0,0,0,,2136,958,699,36,3829,,0,0,0,0,0,,270,243,62,33,608,,0,0,0,0,0,,1713,617,443,133,2906,,1366,635,585,63,2649,,0,0,0,0,0,,0,0,0,0,0,,1106,186,82,3,1377,,345,94,30,4,473,,0,0,0,0,0,,1385,446,198,16,2045,,273,31,59,4,367,,2636,490,200,2,3328,,477,54,18,0,549,,0,0,0,0,0,,1095,70,24,0,1189,,1110,416,194,20,1740,,1358,361,476,1,2196,,61,35,6,0,102,,0,0,0,0,0,,0,0,0,0,0,,923,137,89,28,1177,,1940,558,517,12,3027,,0,0,0,0,0,,23514,6409,4471,462,34856,,16
