,,,,,,,,,,,,,,,,,,,,,,
"Table 19b - Summaries of Academic Staff in all UK Institutions by Age, Gender and Mode of Employment 2001/02",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Full-time Staff,,,,,,,Part-time Staff,,,,,,,,,
,,,,Age,,,,Gender,,,,Age,,,,Gender,,,,,,
,,,,Average                age(#14),% < 35 years,% >= 55 years,,Female,Male,Total ,,Average                age(#14),% < 35 years,% >= 55 years,,Female,Male,Total ,,Total,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
56,,,King's College London,39,40%,10%,,1235,1625,2860,,43,27%,20%,,245,150,395,,3255,,56
57,,,Kingston University,44,23%,14%,,305,470,775,,45,16%,15%,,100,80,185,,960,,57
58,,,The University of Lancaster,41,33%,14%,,185,535,720,,44,24%,22%,,90,90,180,,900,,58
59,,,Leeds Metropolitan University,46,14%,17%,,295,510,805,,45,16%,18%,,215,120,335,,1140,,59
60,,,The University of Leeds,40,38%,11%,,765,1810,2575,,43,26%,20%,,205,190,395,,2965,,60
61,,,The University of Leicester,39,41%,11%,,385,895,1280,,46,17%,30%,,75,70,145,,1425,,61
62,,,The University of Lincoln,44,15%,13%,,165,305,465,,45,15%,17%,,45,50,100,,565,,62
63,,,Liverpool Hope,42,24%,9%,,100,120,220,,42,..,..,,30,15,45,,265,,63
64,,,Liverpool John Moores University,43,23%,16%,,305,605,910,,42,29%,19%,,90,85,180,,1090,,64
65,,,The University of Liverpool,40,38%,13%,,560,1240,1800,,45,22%,26%,,110,110,215,,2020,,65
66,,,London Business School,39,37%,8%,,15,90,105,,47,..,..,,5,20,25,,130,,66
67,,,University of London (Institutes and activities)(#3),45,26%,24%,,55,55,110,,48,..,..,,15,15,30,,140,,67
68,,,London Guildhall University,46,11%,22%,,110,285,395,,45,21%,21%,,85,130,220,,615,,68
69,,,The London Institute,48,8%,27%,,140,220,360,,37,41%,10%,,340,315,650,,1015,,69
70,,,London South Bank University(#2),45,15%,13%,,345,480,825,,45,17%,24%,,115,105,220,,1045,,70
71,,,London School of Economics and Political Science,43,30%,20%,,165,425,590,,44,33%,28%,,45,65,110,,705,,71
72,,,London School of Hygiene & Tropical Medicine,38,42%,7%,,215,200,415,,41,24%,13%,,50,25,75,,490,,72
