50,,,,Non-clinical ,,32715,1505,5530,720,40465,,50,
51,,,,,Teaching only,770,65,170,10,1020,,51,
52,,,,,Research only,26915,1330,4625,630,33495,,52,
53,,,,,Teaching & research,5030,105,730,80,5950,,53,
54,,,,Clinical,,3790,115,435,120,4465,,54,
55,,,,,Teaching only,30,0,10,0,40,,55,
56,,,,,Research only,1875,15,220,40,2150,,56,
57,,,,,Teaching & research,1885,100,205,80,2270,,57,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"In this table 0, 1, 2 are rounded to 0. All other numbers are rounded up or down to the nearest 5.",,,,,,,,,,,,,
,,,,,,,,,,,,,
Copyright © Higher Education Statistics Agency Ltd 2003,,,,,,,,,,,,,
