Table 19a - Summaries of Full-time Academic Staff in all UK Institutions by ,,,,,,,,,,,,,,,,,,,
"Clinical Status, Primary Employment Function and Principal Source of Salary 2001/02",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,Teaching/Teaching                    & Research,,,Research only,,,Non-clinical,,,Clinical,,,Total,,,
,,,,,,,,,,,,,,,,,,,
,,,,Wholly institut-          ionally financed,All other sources of finance,,Wholly institut-        ionally financed,All other sources of finance,,Wholly institut-          ionally financed,All other sources of finance,,Wholly institut-          ionally financed,All other sources of finance,,Wholly institut-          ionally financed,All other sources of finance,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
1,,Total UK,,72950,7890, ,7460,31600,,78180,35515,0,2230,3975,,80410,39490,,1
68,,,London Guildhall University,385,0,,5,0,,390,0,,0,0,,390,0,,68
69,,,The London Institute,345,0,,15,0,,360,0,,0,0,,360,0,,69
70,,,London South Bank University(#2),480,235,,40,65,,525,300,,0,0,,525,300,,70
71,,,London School of Economics and Political Science,440,45,,15,90,,455,135,,0,0,,455,135,,71
72,,,London School of Hygiene & Tropical Medicine,95,90,,20,210,,85,240,,30,60,,110,300,,72
73,,,Loughborough University,560,10,,95,350,,655,360,,0,0,,655,360,,73
74,,,University of Luton,435,20,,75,10,,510,25,,0,0,,510,25,,74
75,,,University of Manchester,1330,360,,225,1045,,1440,1225,,115,185,,1555,1410,,75
76,,,The University of Manchester Institute of Science & Technology,440,80,,130,265,,570,345,,0,0,,570,345,,76
77,,,The Manchester Metropolitan University,1035,20,,85,60,,1120,80,,0,0,,1120,80,,77
78,,,Middlesex University,645,20,,10,40,,655,60,,0,0,,655,60,,78
79,,,The University of Newcastle-upon-Tyne,885,155,,190,775,,990,740,,90,190,,1080,930,,79
80,,,Newman College,60,0,,0,0,,60,0,,0,0,,60,0,,80
81,,,The University of North London,465,30,,0,0,,465,30,,0,0,,465,30,,81
82,,,University College Northampton,375,5,,20,0,,400,5,,0,0,,400,5,,82
83,,,Northern School of Contemporary Dance,10,0,,0,0,,10,0,,0,0,,10,0,,83
84,,,The University of Northumbria at Newcastle,840,50,,40,100,,880,150,,0,0,,880,150,,84
85,,,Norwich School of Art and Design,25,0,,0,0,,25,0,,0,0,,25,0,,85
