,,,,,,,,,,,,,,,,,
"Table 17 - Full-time Non-clinical Wholly Institutionally Financed Staff by Departmental Group, Grade(#13) and Age 2001/02",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,25 & under,26               -30,31            -35,36           -40,41                  -45,46                -50,51               -55,56                  -60,61               -65,66+,Un-  known,Total,,
71,,,Researchers,0,0,0,0,0,0,0,0,0,0,0,0,,71
72,,,Other grades,0,0,0,0,0,0,0,0,0,0,0,0,,72
,,,,,,,,,,,,,,,,,
73,,Residences & catering,,0,0,0,0,0,0,0,0,0,0,0,0,,73
74,,,Professors,0,0,0,0,0,0,0,0,0,0,0,0,,74
75,,,Senior lecturers & researchers,0,0,0,0,0,0,0,0,0,0,0,0,,75
76,,,Lecturers,0,0,0,0,0,0,0,0,0,0,0,0,,76
77,,,Researchers,0,0,0,0,0,0,0,0,0,0,0,0,,77
78,,,Other grades,0,0,0,0,0,0,0,0,0,0,0,0,,78
 ,,,,,,,,,,,,,,,,, 
79,,All academic staff,,1195,5235,9730,12020,11940,12485,13860,8455,3040,210,10,78180,,79
80,,,Professors,0,10,100,655,1375,2195,3045,2285,1095,105,0,10860,,80
81,,,Senior lecturers & researchers,5,85,1050,2775,3490,3725,4470,2980,1030,50,0,19660,,81
82,,,Lecturers,215,2945,6620,7145,5760,5280,4975,2475,705,25,5,36145,,82
83,,,Researchers,720,1735,1475,955,605,420,350,180,55,10,0,6505,,83
84,,,Other grades,255,460,485,495,705,860,1025,540,160,25,0,5005,,84
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"In this table 0, 1, 2 are rounded to 0. All other numbers are rounded up or down to the nearest 5.",,,,,,,,,,,,,,,,,
# see relevant footnote in Notes on Tables.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Copyright © Higher Education Statistics Agency Ltd 2003,,,,,,,,,,,,,,,,,
