,,,,,,,,,,,,,
Table 12 - Summaries of Academic Staff Numbers for all UK Institutions by Principal Source of Salary and Mode of Employment 2001/02,,,,,,,,,,,,,
,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,Full-time,,,,       Part-time,,,,,
,,,, Wholly institutio-    nally financed,All other sources of finance,Total ,, Wholly institutio-    nally financed,All other sources of finance,Total ,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1,,Total UK,,80410,39490,119900,,17810,5440,23250,,1,
,,,,,,,,,,,,,
84,,,The University of Northumbria at Newcastle,880,150,1030,,220,50,270,,84
85,,,Norwich School of Art and Design,25,0,25,,30,0,30,,85
86,,,The Nottingham Trent University,910,75,990,,285,25,310,,86
87,,,The University of Nottingham,1190,1200,2390,,95,120,215,,87
88,,,The Open University,1100,75,1175,,120,15,135,,88
89,,,Oxford Brookes University,460,0,465,,565,5,565,,89
90,,,The University of Oxford,1760,2160,3920,,115,230,350,,90
91,,,The University of Plymouth,805,165,970,,380,40,420,,91
92,,,The University of Portsmouth,660,115,775,,235,30,265,,92
93,,,Queen Mary and Westfield College,600,730,1325,,110,95,205,,93
94,,,Ravensbourne College of Design and Communication,15,0,15,,50,0,50,,94
95,,,The University of Reading,800,330,1130,,85,45,130,,95
96,,,"University of Surrey, Roehampton",235,5,245,,145,10,155,,96
97,,,Rose Bruford College,25,0,25,,25,0,25,,97
98,,,Royal Academy of Music,10,0,10,,70,0,70,,98
99,,,Royal Agricultural College(#1),35,0,35,,5,0,5,,99
100,,,Royal College of Art,25,10,40,,50,30,80,,100
101,,,Royal College of Music,15,5,20,,35,0,35,,101
102,,,Royal Holloway and Bedford New College,455,105,560,,90,35,125,,102
103,,,Royal Northern College of Music,30,0,30,,50,0,55,,103
104,,,The Royal Veterinary College,110,55,165,,0,0,5,,104
105,,,St George's Hospital Medical School,230,405,635,,35,55,90,,105
106,,,College of St Mark and St John,100,10,110,,25,0,25,,106
107,,,St Martin's College,335,0,335,,55,0,55,,107
108,,,St Mary's College,105,0,110,,35,0,35,,108
109,,,The University of Salford,870,90,955,,135,10,145,,109
110,,,The School of Oriental and African Studies,255,25,280,,40,5,45,,110
111,,,The School of Pharmacy,50,50,100,,0,0,5,,111
112,,,Sheffield Hallam University,900,230,1130,,300,25,325,,112
113,,,The University of Sheffield,1270,985,2255,,95,130,230,,113
114,,,Southampton Institute,385,0,385,,135,0,135,,114
115,,,The University of Southampton,1080,1000,2080,,215,115,330,,115
116,,,Staffordshire University,540,65,605,,130,25,155,,116
117,,,The University of Sunderland,520,30,550,,570,50,620,,117
118,,,"The Surrey Institute of Art and Design, University College",80,0,80,,60,0,60,,118
119,,,The University of Surrey,615,295,910,,145,55,195,,119
120,,,The University of Sussex,680,160,840,,120,30,150,,120
121,,,The University of Teesside,375,160,535,,75,15,95,,121
122,,,Thames Valley University,230,185,415,,60,35,95,,122
123,,,Trinity And All Saints College,100,0,105,,25,0,25,,123
124,,,Trinity College of Music,0,0,0,,55,0,55,,124
125,,,University College London,1615,2395,4010,,405,220,625,,125
126,,,The University of Warwick,925,390,1310,,115,50,165,,126
127,,,"University of the West of England, Bristol",895,70,965,,305,15,320,,127
128,,,The University of Westminster,580,60,640,,480,25,505,,128
129,,,Wimbledon School of Art,25,0,25,,20,0,20,,129
130,,,The University of Wolverhampton,825,20,850,,195,5,200,,130
131,,,University College Worcester,195,0,195,,55,0,55,,131
132,,,Writtle College,150,0,150,,20,0,20,,132
133,,,York St John College,140,5,145,,35,5,40,,133
134,,,The University of York,540,440,980,,65,75,140,,134
,,,,,,,,,,,,
135,,Total Wales,,4340,1430,5770,,640,185,830,,135
136,,,"University of Wales, Aberystwyth",375,145,520,,70,15,90,,136
137,,,"University of Wales, Bangor",445,190,635,,40,35,75,,137
138,,,Cardiff University,1075,565,1640,,120,50,170,,138
139,,,"University of Wales Institute, Cardiff",325,5,330,,50,0,50,,139
140,,,University of Glamorgan,570,0,570,,125,0,125,,140
141,,,"The University of Wales, Lampeter",85,0,85,,15,0,15,,141
142,,,University of Wales College of Medicine,355,315,670,,40,35,75,,142
143,,,"University of Wales College, Newport",145,5,145,,25,5,30,,143
144,,,The North-East Wales Institute of Higher Education,150,20,165,,20,0,25,,144
145,,,"University of Wales, Registry",15,10,25,,0,0,5,,145
146,,,Royal Welsh College of Music and Drama(#2),35,0,35,,10,0,10,,146
147,,,Swansea Institute of Higher Education,150,0,150,,45,0,45,,147
148,,,"University of Wales, Swansea",535,180,715,,75,40,115,,148
149,,,"Trinity College, Carmarthen",80,0,80,,0,0,0,,149
,,,,,,,,,,,,
150,,Total Scotland,,9100,5230,14330,,1540,735,2275,,150
151,,,The University of Aberdeen,740,545,1285,,115,115,230,,151
152,,,University of Abertay Dundee,230,20,250,,20,5,25,,152
153,,,Bell College(#1),120,55,175,,10,5,15,,153
154,,,The University of Dundee,640,670,1310,,135,60,200,,154
155,,,Edinburgh College of Art,70,10,80,,90,10,100,,155
156,,,The University of Edinburgh,1300,1420,2720,,135,170,305,,156
157,,,Glasgow Caledonian University,590,140,730,,70,40,110,,157
158,,,Glasgow School of Art,70,0,70,,60,5,65,,158
159,,,The University of Glasgow,1310,1060,2370,,160,140,300,,159
160,,,Heriot-Watt University,425,255,680,,35,45,80,,160
161,,,Napier University,575,45,620,,105,5,110,,161
162,,,Northern College of Education(#5),~,~,~,,~,~,~,,162
