Table 6 - Expenditure of each Institution by Activity 2001/02,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
UK Institutions,,,,,,,,,,,,,£ Thousands,,
,,,,,,,,,,,,,,,
,,,,Academic depts,Academic services,Admin & central services,Premises,Resid-   ences & catering ops,Research grants & contracts,Other expen-diture,Total ,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1,,Total UK,,5976479,1095784,1840339,1519501,905928,2114721,973785,14426537,,1,,
,,,,,,,,,,,,,,,
2,,Total England,,4897043,893250,1531922,1234978,760132,1714992,750068,11782385,,2,,
3,,,Anglia Polytechnic University,33489,6103,13742,9139,5348,2743,18651,89215,,3,,
4,,,Aston University,22434,4393,8336,5736,6019,4475,3653,55046,,4,,
5,,,Bath Spa University College,9498,1424,3887,2017,998,210,2642,20676,,5,,
6,,,The University of Bath,39489,6195,14215,10535,8681,16343,5094,100552,,6,,
7,,,Birkbeck College,23778,2882,7054,5413,155,6237,115,45634,,7
8,,,The University of Birmingham,115975,16423,20742,22862,17681,57657,20632,271972,,8
9,,,Bishop Grosseteste College,2189,252,1245,464,667,0,225,5042,,9
10,,,Bolton Institute of Higher Education,12105,2439,5425,4257,1608,494,1186,27514,,10
11,,,The Arts Institute at Bournemouth(#1),3022,793,1980,1334,222,0,407,7758,,11
12,,,Bournemouth University,30701,5097,8437,5971,2796,1866,1135,56003,,12
13,,,The University of Bradford,35233,5400,10298,7033,5240,6310,2432,71946,,13
14,,,The University of Brighton,41003,7188,10539,13040,7811,3281,1859,84721,,14
15,,,The University of Bristol,86807,13706,20261,15556,9923,47798,11182,205233,,15
16,,,Brunel University,34856,7624,13255,10332,10942,7191,3176,87376,,16
17,,,Buckinghamshire Chilterns University College,20093,2212,9994,2770,3133,1341,1917,41460,,17
18,,,The University of Cambridge,151810,22687,45166,48809,4682,130754,46616,450524,,18
19,,,The Institute of Cancer Research,8169,1218,4766,4179,40,24552,0,42924,,19
20,,,Canterbury Christ Church University College,24246,3363,7612,4061,5993,460,3391,49126,,20
21,,,The University of Central England in Birmingham,53998,7752,11034,8493,5419,2239,3258,92193,,21
22,,,The University of Central Lancashire,49808,7613,19185,11243,5864,2080,1692,97485,,22
23,,,Central School of Speech and Drama,2522,282,1570,1109,64,0,28,5575,,23
24,,,Chester College of HE,12780,1992,4051,2993,1583,312,821,24532,,24
25,,,University College Chichester,8076,1706,2792,1647,1905,354,301,16781,,25
26,,,City University,53743,4703,12655,12220,5756,5701,1578,96356,,26
27,,,Conservatoire for Dance and Drama(#1),3273,0,78,16,0,0,55,3422,,27
28,,,Coventry University,39918,7165,12423,10858,5637,1844,11753,89598,,28
29,,,Cranfield University,55964,6329,10306,8084,8081,27635,4247,120646,,29
30,,,Cumbria Institute of the Arts,1705,1071,1773,672,283,5,112,5621,,30
31,,,Dartington College of Arts,1240,259,1406,324,21,0,143,3393,,31
32,,,De Montfort University,53246,10436,20557,5995,4227,6906,10667,112034,,32
33,,,University of Derby,27100,8383,10425,6939,6016,846,3188,62897,,33
34,,,University of Durham,45391,10183,14921,10890,17087,22339,9326,130137,,34
35,,,The University of East Anglia,38654,6805,11612,10128,7986,18517,2227,95929,,35
36,,,The University of East London,29237,8522,11525,9037,2953,1355,5695,68324,,36
37,,,Edge Hill College of Higher Education,15543,4386,4561,3834,1309,341,22,29996,,37
38,,,The University of Essex,25924,5748,8718,6340,8370,8666,3209,66975,,38
39,,,The University of Exeter,39879,6367,8620,9099,15712,10820,5933,96430,,39
40,,,Falmouth College of Arts,3384,1698,2101,1451,711,36,524,9905,,40
41,,,University of Gloucestershire,18092,4039,5327,4259,2026,1217,1409,36369,,41
42,,,Goldsmiths College,20863,2984,7549,6645,4049,1700,1097,44887,,42
43,,,The University of Greenwich,39776,6827,17302,19296,7787,9194,10286,110468,,43
44,,,Harper Adams University College,6169,880,2278,1163,1616,364,2602,15072,,44
45,,,University of Hertfordshire,50844,8142,14979,12842,7205,2895,7519,104426,,45
46,,,Homerton College(#4),5367,0,0,0,0,0,0,5367,,46
47,,,The University of Huddersfield,39936,5726,9950,10270,6067,2009,2462,76420,,47
48,,,The University of Hull,46743,5570,13528,6742,6965,8530,6463,94541,,48
49,,,"Imperial College of Science, Technology & Medicine",127309,19831,26890,48935,15692,128552,12810,380019,,49
50,,,Institute of Advanced Nursing Education,5327,1194,1994,0,0,665,445,9625,,50
51,,,Institute of Education,17500,3418,5645,1587,1448,6670,1637,37905,,51
52,,,The University of Keele,29734,3737,6397,5221,10993,7357,4419,67858,,52
53,,,The University of Kent at Canterbury,33401,6129,10480,6582,10489,6262,3757,77100,,53
54,,,Kent Institute of Art & Design,6573,998,3372,1721,2070,39,320,15093,,54
55,,,"King Alfred's College, Winchester",7198,2074,3266,1792,3215,80,420,18045,,55
56,,,King's College London,118237,16983,19166,34396,12203,81094,34102,316181,,56
57,,,Kingston University,45473,6823,14387,8190,11484,1319,4546,92222,,57
58,,,The University of Lancaster,38995,6945,11178,7086,11849,12086,2912,91051,,58
59,,,Leeds Metropolitan University,54252,12714,8184,15837,6212,1305,7269,105773,,59
60,,,The University of Leeds,137911,17379,29448,26548,20220,55514,9455,296475,,60
61,,,The University of Leicester,62988,7905,14112,10114,11459,31535,4194,142307,,61
62,,,The University of Lincoln,25376,5323,12269,6725,2423,778,4728,57622,,62
63,,,Liverpool Hope,10456,1615,5791,2839,3162,61,7286,31210,,63
64,,,Liverpool John Moores University,47538,8029,17764,13971,3199,2957,11181,104639,,64
65,,,The University of Liverpool,78113,9659,18828,18310,11427,47445,13679,197461,,65
66,,,London Business School,14180,24213,7475,6522,3328,4904,765,61387,,66
67,,,University of London (Institutes and activities)(#3),11880,14623,32685,7196,13260,2600,19164,101408,,67
68,,,London Guildhall University,22052,6705,13420,8197,275,251,2821,53721,,68
69,,,The London Institute,51872,8127,9979,12952,3744,1189,2241,90104,,69
70,,,London South Bank University(#2),45599,7605,16982,13571,5911,3892,2185,95745,,70
71,,,London School of Economics and Political Science,33509,7899,16750,14179,12380,10339,8459,103515,,71
72,,,London School of Hygiene & Tropical Medicine,9709,2322,3134,4166,392,26848,2974,49545,,72
73,,,Loughborough University,48404,9189,9511,7618,17951,20694,6321,119688,,73
74,,,University of Luton,21078,5127,11373,5914,5066,1015,37,49610,,74
75,,,University of Manchester,125662,23781,29212,30579,23010,68110,21220,321574,,75
76,,,The University of Manchester Institute of Science & Technology,44882,6313,11379,14075,11763,23059,11449,122920,,76
77,,,The Manchester Metropolitan University,64653,13098,18545,19750,10880,5463,5707,138096,,77
78,,,Middlesex University,42422,19930,17974,16590,5854,8020,12222,123012,,78
79,,,The University of Newcastle-upon-Tyne,83415,14972,21964,23316,12132,42073,23161,221033,,79
80,,,Newman College,2956,478,1685,771,869,0,238,6997,,80
81,,,The University of North London,28695,8543,12206,8707,3310,3364,2799,67624,,81
82,,,University College Northampton,20053,3396,9084,3943,3965,950,1655,43046,,82
83,,,Northern School of Contemporary Dance,704,267,417,221,0,0,84,1693,,83
84,,,The University of Northumbria at Newcastle,58433,13803,16162,10706,6968,4724,2554,113350,,84
85,,,Norwich School of Art and Design,2229,547,1523,537,108,0,51,4995,,85
86,,,The Nottingham Trent University,68007,14847,9675,12968,5064,3277,3292,117130,,86
87,,,The University of Nottingham,108590,18357,20751,22800,24219,53791,14787,263295,,87
88,,,The Open University,129315,28919,112328,24521,0,12640,3513,311236,,88
89,,,Oxford Brookes University,44994,6024,10118,12450,11131,4709,4687,94113,,89
90,,,The University of Oxford,133486,36251,44663,45217,1944,131846,16581,409988,,90
91,,,The University of Plymouth,61242,10405,13633,11274,4378,6851,4560,112343,,91
92,,,The University of Portsmouth,46836,8337,9491,12216,6255,3862,1504,88501,,92
93,,,Queen Mary and Westfield College,61905,6419,14795,11629,5730,31060,7959,139497,,93
94,,,Ravensbourne College of Design and Communication,2877,838,1786,1479,95,0,84,7159,,94
95,,,The University of Reading,52975,6992,11452,13410,14810,17578,6882,124099,,95
96,,,"University of Surrey, Roehampton",14831,4801,9972,2506,6161,1321,0,39592,,96
97,,,Rose Bruford College,1839,140,1440,593,82,0,26,4120,,97
98,,,Royal Academy of Music,4017,475,3497,2928,339,0,457,11713,,98
99,,,Royal Agricultural College(#1),2212,567,1315,672,1608,66,1305,7745,,99
100,,,Royal College of Art,6606,1358,6150,3492,640,1222,1087,20555,,100
101,,,Royal College of Music,4715,621,1709,571,656,0,3985,12257,,101
102,,,Royal Holloway and Bedford New College,25104,4082,9775,5485,10094,7548,1103,63191,,102
103,,,Royal Northern College of Music,3583,320,2440,1452,568,0,913,9276,,103
104,,,The Royal Veterinary College,7086,2256,2785,3830,947,3689,6724,27317,,104
105,,,St George's Hospital Medical School,28558,1938,5232,3493,426,16611,146,56404,,105
106,,,College of St Mark and St John,7178,911,2489,2594,1008,130,693,15003,,106
107,,,St Martin's College,18230,1596,5533,3353,2595,76,3684,35067,,107
108,,,St Mary's College,6219,1285,2564,1967,2589,78,23,14725,,108
109,,,The University of Salford,52523,7502,14611,10000,8093,5410,16311,114450,,109
110,,,The School of Oriental and African Studies,16182,4598,7145,4453,1024,2267,552,36221,,110
111,,,The School of Pharmacy,4716,592,1610,996,94,2737,45,10790,,111
112,,,Sheffield Hallam University,57705,11773,18596,12570,4194,6235,5895,116968,,112
113,,,The University of Sheffield,93073,16090,23700,24467,15089,52205,16326,240950,,113
114,,,Southampton Institute,26299,5328,8495,6895,8958,270,2301,58546,,114
115,,,The University of Southampton,80848,12469,24216,22410,13331,59557,16767,229598,,115
116,,,Staffordshire University,38397,8459,9766,5443,6306,2849,3760,74980,,116
117,,,The University of Sunderland,30472,4865,13356,8849,5514,3122,7451,73629,,117
118,,,"The Surrey Institute of Art and Design, University College",7590,2687,1993,4698,823,0,67,17858,,118
119,,,The University of Surrey,48832,6177,16089,9997,9974,16603,20327,127999,,119
120,,,The University of Sussex,35287,6268,12233,9785,7487,16772,5260,93092,,120
121,,,The University of Teesside,30858,4244,10848,6708,2517,1077,6102,62354,,121
122,,,Thames Valley University,28993,7717,12282,7509,822,337,3503,61163,,122
123,,,Trinity And All Saints College,5011,863,2657,1220,1652,0,39,11442,,123
124,,,Trinity College of Music,3000,341,2149,932,0,102,351,6875,,124
125,,,University College London,151409,22030,35060,47337,11909,133521,31496,432762,,125
126,,,The University of Warwick,68714,11632,18371,16121,19185,23100,29155,186278,,126
127,,,"University of the West of England, Bristol",58102,10207,18906,11595,8035,3420,6324,116589,,127
128,,,The University of Westminster,48991,6715,16158,18676,6430,3661,271,100902,,128
129,,,Wimbledon School of Art,2720,456,1076,931,99,47,228,5557,,129
130,,,The University of Wolverhampton,39866,7762,17028,11079,4756,2453,9238,92182,,130
131,,,University College Worcester,9665,1623,5058,1587,875,956,0,19764,,131
