Table 7 - Staff Costs of each Institution by Activity 2001/02,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
UK Institutions,,,,,,,,,,,,,,,,,,,,£ Thousands,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Academic Staff Costs,,,,,Other Staff Costs,,,,,,,,,,,
,,,,Academic       depts,Academic              services,Admin &       central        services,Research              grants &                  contracts,Other expenditure,Total ,,Academic       depts,Academic              services,Admin &       central        services,Premises,Residences & catering ops,Research              grants &                  contracts,Other expenditure,Total ,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
1,,Total UK,,3599386,43558,84759,898862,110464,4737029,,1085848,544908,875752,359110,263819,250706,244990,3625133,,1,,
,,,,,,,,,,,,,,,,,,,,,,
2,,Total England,,2932753,38703,74251,737097,87233,3870037,,886627,439834,717341,287213,214909,204019,189572,2939515,,2,,
46,,,Homerton College(#4),2575,0,0,0,0,2575,,807,0,0,0,0,0,0,807,,46
47,,,The University of Huddersfield,22833,0,0,909,192,23934,,5271,2870,5044,2695,312,132,347,16671,,47
48,,,The University of Hull,25100,0,0,4002,649,29751,,11446,3358,6169,3116,2061,679,1432,28261,,48
49,,,"Imperial College of Science, Technology & Medicine",72401,528,1179,56673,2074,132855,,30948,10434,13584,11187,5307,14293,2063,87816,,49
50,,,Institute of Advanced Nursing Education,2908,683,0,0,0,3591,,265,171,770,0,0,461,229,1896,,50
51,,,Institute of Education,8827,0,0,3989,1063,13879,,1282,1812,2346,401,827,595,71,7334,,51
52,,,The University of Keele,19593,49,184,3194,191,23211,,3805,1849,4072,1535,3541,1262,1474,17538,,52
53,,,The University of Kent at Canterbury,20083,0,0,4159,0,24242,,4073,3261,6716,1877,4511,642,2001,23081,,53
54,,,Kent Institute of Art & Design,3934,0,98,0,0,4032,,1437,683,2003,439,204,24,103,4893,,54
55,,,"King Alfred's College, Winchester",5182,0,37,37,92,5348,,692,909,1872,526,946,5,188,5138,,55
56,,,King's College London,86089,0,731,19063,4196,110079,,19879,8738,12278,5233,3104,33587,8177,90996,,56
57,,,Kingston University,26299,104,671,563,1164,28801,,8934,3826,8843,1948,2145,84,869,26649,,57
