2,,Total England,,237714,55349,198929,47436,539428,0,227908,61052,184978,23382,497320,0,118078,35466,112409,3959,269912,,55507,22448,80217,5229,163401,,61180,13792,56678,1669,133319,,26221,10891,45067,1853,84032,,10489,5021,11472,598,27580,,737097,204019,689750,84126,1714992,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,The University of Hull,1152,132,711,369,2364,,781,192,726,156,1855,,797,128,654,85,1664,,720,68,580,42,1410,,394,114,270,0,778,,118,45,213,0,376,,40,0,27,16,83,,4002,679,3181,668,8530,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,"Imperial College of Science, Technology & Medicine",17981,3014,13108,1611,35714,,21420,6008,18944,1324,47696,,4307,1500,3939,39,9785,,5093,1601,8119,1013,15826,,4013,841,3254,119,8227,,2743,1065,4549,353,8710,,1116,264,1172,42,2594,,56673,14293,53085,4501,128552,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,Institute of Advanced Nursing Education,0,0,0,0,0,,0,0,76,0,76,,0,461,83,0,544,,0,0,45,0,45,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,461,204,0,665,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,Institute of Education,1014,191,1196,0,2401,,443,77,107,0,627,,2169,297,651,0,3117,,70,5,14,0,89,,225,20,103,0,348,,28,2,11,0,41,,40,3,4,0,47,,3989,595,2086,0,6670,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,The University of Keele,857,121,492,0,1470,,779,398,505,0,1682,,1123,529,1189,0,2841,,102,135,275,0,512,,220,65,248,0,533,,81,13,154,0,248,,32,1,38,0,71,,3194,1262,2901,0,7357,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,The University of Kent at Canterbury,1269,224,624,46,2163,,480,48,258,25,811,,1571,246,-179,15,1653,,95,47,286,5,433,,335,11,140,1,487,,140,29,167,0,336,,269,37,71,2,379,,4159,642,1367,94,6262,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,Kent Institute of Art & Design,0,2,7,0,9,,0,0,2,0,2,,0,0,2,0,2,,0,22,4,0,26,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,24,15,0,39,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,"King Alfred's College, Winchester",9,1,16,0,26,,5,4,11,0,20,,6,0,6,0,12,,0,0,0,0,0,,0,0,0,0,0,,17,0,4,1,22,,0,0,0,0,0,,37,5,37,1,80,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,King's College London,3363,7490,4697,876,16426,,8416,15779,10939,794,35928,,2940,3580,3215,130,9865,,2691,2883,2558,112,8244,,881,1383,1521,29,3814,,738,1409,2139,189,4475,,34,1063,1190,55,2342,,19063,33587,26259,2185,81094,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,Kingston University,128,9,148,0,285,,5,1,61,0,67,,210,29,148,0,387,,99,6,119,0,224,,100,13,69,0,182,,14,4,26,0,44,,7,22,101,0,130,,563,84,672,0,1319,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,The University of Lancaster,3020,234,1530,0,4784,,561,86,278,0,925,,1436,338,1341,0,3115,,458,54,553,0,1065,,972,39,709,0,1720,,85,12,63,0,160,,115,10,192,0,317,,6647,773,4666,0,12086,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,Leeds Metropolitan University,136,0,72,0,208,,154,0,72,0,226,,173,0,94,0,267,,340,0,163,0,503,,13,0,10,0,23,,38,0,16,0,54,,15,0,9,0,24,,869,0,436,0,1305,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,The University of Leeds,8522,555,7322,2142,18541,,6736,1055,8959,1084,17834,,3069,361,3517,1,6948,,1796,1236,2620,115,5767,,2046,172,1396,50,3664,,610,406,1078,14,2108,,198,40,356,58,652,,22977,3825,25248,3464,55514,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,The University of Leicester,4820,1078,6702,1655,14255,,4476,519,3734,417,9146,,3129,322,1122,30,4603,,896,235,744,6,1881,,317,21,312,0,650,,232,60,591,15,898,,47,2,39,14,102,,13917,2237,13244,2137,31535,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,The University of Lincoln,0,0,0,0,0,,1,0,9,0,10,,140,0,207,0,347,,1,0,28,0,29,,115,0,256,0,371,,9,0,0,0,9,,9,0,3,0,12,,275,0,503,0,778,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,Liverpool Hope,0,0,0,0,0,,0,0,0,0,0,,0,17,35,0,52,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,9,0,9,,0,17,44,0,61,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,Liverpool John Moores University,237,97,273,0,607,,96,9,81,3,189,,656,348,783,3,1790,,64,4,153,0,221,,11,1,2,0,14,,3,0,21,0,24,,22,26,64,0,112,,1089,485,1377,6,2957,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,The University of Liverpool,472,6640,4398,3116,14626,,1450,5201,5283,468,12402,,672,4031,5908,0,10611,,518,1499,1369,9,3395,,160,1619,1477,7,3263,,124,647,1642,0,2413,,20,293,422,0,735,,3416,19930,20499,3600,47445,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,London Business School,147,0,146,0,293,,154,0,154,0,308,,808,0,809,0,1617,,1467,0,641,0,2108,,84,0,83,0,167,,196,0,196,0,392,,9,0,10,0,19,,2865,0,2039,0,4904,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,University of London (Institutes and activities)(#3),185,187,427,0,799,,107,114,50,0,271,,389,18,233,0,640,,158,0,93,0,251,,88,78,128,0,294,,89,11,191,0,291,,0,30,24,0,54,,1016,438,1146,0,2600,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,London Guildhall University,71,0,0,0,71,,33,0,0,0,33,,54,0,0,0,54,,58,0,0,0,58,,10,0,0,0,10,,0,0,0,0,0,,25,0,0,0,25,,251,0,0,0,251,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,The London Institute,0,142,51,0,193,,0,96,182,0,278,,0,76,34,0,110,,0,0,14,0,14,,0,152,414,0,566,,0,1,27,0,28,,0,0,0,0,0,,0,467,722,0,1189,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,London South Bank University(#2),335,41,-468,0,-92,,169,62,115,0,346,,600,452,1025,0,2077,,153,49,230,0,432,,280,105,551,0,936,,21,1,99,0,121,,0,30,42,0,72,,1558,740,1594,0,3892,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,London School of Economics and Political Science,1381,1055,726,0,3162,,1232,255,156,0,1643,,1143,113,323,0,1579,,699,126,155,0,980,,682,147,494,0,1323,,495,358,501,0,1354,,171,58,69,0,298,,5803,2112,2424,0,10339,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,London School of Hygiene & Tropical Medicine,1794,471,1863,0,4128,,2372,574,3298,0,6244,,3497,918,3722,0,8137,,325,73,325,0,723,,672,27,664,0,1363,,1778,425,3805,0,6008,,225,2,18,0,245,,10663,2490,13695,0,26848,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,Loughborough University,3539,198,2014,674,6425,,666,46,501,32,1245,,1767,177,3183,36,5163,,2409,210,2536,298,5453,,725,49,520,7,1301,,229,1,375,0,605,,212,27,222,41,502,,9547,708,9351,1088,20694,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,University of Luton,98,5,20,0,123,,60,2,108,0,170,,273,26,89,0,388,,56,2,11,0,69,,177,6,82,0,265,,0,0,0,0,0,,0,0,0,0,0,,664,41,310,0,1015,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,University of Manchester,10669,2832,8446,3009,24956,,10757,1570,7076,1094,20497,,5776,1455,5325,3,12559,,1147,317,1926,214,3604,,1701,222,1696,17,3636,,860,198,739,5,1802,,506,159,380,11,1056,,31416,6753,25588,4353,68110,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,The University of Manchester Institute of Science & Technology,4517,90,7930,1773,14310,,1130,135,871,259,2395,,325,68,586,23,1002,,608,101,1297,67,2073,,976,84,1380,19,2459,,358,81,233,0,672,,61,5,82,0,148,,7975,564,12379,2141,23059,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,The Manchester Metropolitan University,299,12,266,0,577,,206,0,57,0,263,,1131,918,1365,0,3414,,381,86,243,0,710,,154,52,136,0,342,,8,0,20,0,28,,74,6,49,0,129,,2253,1074,2136,0,5463,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,Middlesex University,756,255,810,0,1821,,185,63,198,0,446,,325,110,348,0,783,,97,33,104,0,234,,1797,607,1924,0,4328,,0,0,0,0,0,,169,58,181,0,408,,3329,1126,3565,0,8020,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,The University of Newcastle-upon-Tyne,4613,548,3742,828,9731,,5738,779,5662,836,13015,,4330,583,6599,0,11512,,1350,169,1192,21,2732,,1627,183,1319,8,3137,,404,176,823,0,1403,,289,53,201,0,543,,18351,2491,19538,1693,42073,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,Newman College,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,The University of North London,88,90,112,0,290,,29,30,37,0,96,,197,203,253,0,653,,17,17,22,0,56,,177,183,229,0,589,,10,11,13,0,34,,497,511,638,0,1646,,1015,1045,1304,0,3364,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,University College Northampton,49,0,59,72,180,,49,0,18,0,67,,281,0,259,0,540,,30,0,19,0,49,,27,0,23,0,50,,7,0,1,0,8,,26,0,30,0,56,,469,0,409,72,950,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,Northern School of Contemporary Dance,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,The University of Northumbria at Newcastle,166,17,229,19,431,,240,131,107,22,500,,830,374,792,94,2090,,339,69,198,28,634,,529,146,276,44,995,,32,0,5,2,39,,0,0,33,2,35,,2136,737,1640,211,4724,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,Norwich School of Art and Design,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,The Nottingham Trent University,363,6,374,0,743,,213,2,392,0,607,,615,19,295,0,929,,186,2,70,0,258,,239,22,220,0,481,,23,4,52,0,79,,10,78,92,0,180,,1649,133,1495,0,3277,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,The University of Nottingham,8257,835,10309,1500,20901,,5422,935,4525,321,11203,,2159,694,2858,33,5744,,2304,881,5652,164,9001,,2110,200,2139,8,4457,,749,343,1269,0,2361,,44,14,66,0,124,,21045,3902,26818,2026,53791,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,The Open University,1345,315,2430,0,4090,,392,38,578,0,1008,,300,57,278,0,635,,74,15,5706,0,5795,,568,87,158,0,813,,115,30,154,0,299,,0,0,0,0,0,,2794,542,9304,0,12640,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,Oxford Brookes University,446,60,440,23,969,,395,40,150,0,585,,404,322,1038,0,1764,,78,93,385,1,557,,90,66,409,0,565,,58,3,156,0,217,,13,0,39,0,52,,1484,584,2617,24,4709,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,The University of Oxford,19433,3504,12790,5002,40729,,26549,2645,21241,5200,55635,,5244,1018,3556,68,9886,,3126,999,4184,221,8530,,3689,338,2468,48,6543,,2986,569,5730,286,9571,,298,58,582,14,952,,61325,9131,50551,10839,131846,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,The University of Plymouth,1005,80,1092,0,2177,,237,59,348,0,644,,1532,176,777,0,2485,,237,22,344,0,603,,252,32,376,0,660,,129,5,119,0,253,,0,0,29,0,29,,3392,374,3085,0,6851,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,The University of Portsmouth,319,12,250,24,605,,495,46,274,51,866,,524,71,376,19,990,,99,9,154,13,275,,490,97,323,14,924,,26,0,-1,0,25,,69,14,15,79,177,,2022,249,1391,200,3862,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,Queen Mary and Westfield College,3806,1105,4821,393,10125,,6794,1162,4101,374,12431,,2083,477,945,108,3613,,665,278,538,68,1549,,861,190,825,31,1907,,580,236,345,44,1205,,164,33,24,9,230,,14953,3481,11599,1027,31060,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,Ravensbourne College of Design and Communication,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,The University of Reading,4782,345,1682,593,7402,,1080,101,703,50,1934,,1394,235,835,95,2559,,708,185,662,211,1766,,1401,192,712,10,2315,,393,62,412,24,891,,491,55,165,0,711,,10249,1175,5171,983,17578,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,"University of Surrey, Roehampton",138,0,31,0,169,,204,0,91,0,295,,106,0,35,0,141,,2,0,677,0,679,,0,0,0,0,0,,0,0,4,0,4,,30,0,3,0,33,,480,0,841,0,1321,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,Rose Bruford College,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,Royal Academy of Music,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,Royal Agricultural College(#1),0,0,0,0,0,,10,0,5,0,15,,22,0,29,0,51,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,32,0,34,0,66,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,Royal College of Art,326,10,229,0,565,,174,50,197,0,421,,0,0,0,0,0,,190,6,38,0,234,,0,0,0,0,0,,0,0,2,0,2,,0,0,0,0,0,,690,66,466,0,1222,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,Royal College of Music,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,Royal Holloway and Bedford New College,1440,320,1019,101,2880,,982,27,340,3,1352,,567,33,547,0,1147,,320,31,326,10,687,,996,53,289,0,1338,,16,25,103,0,144,,0,0,0,0,0,,4321,489,2624,114,7548,,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,Royal Northern College of Music,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,,The Royal Veterinary College,297,38,176,0,511,,679,172,637,0,1488,,213,6,228,0,447,,170,103,604,0,877,,14,2,259,0,275,,18,76,-3,0,91,,0,0,0,0,0,,1391,397,1901,0,3689,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
