2,,Total England,,237714,55349,198929,47436,539428,0,227908,61052,184978,23382,497320,0,118078,35466,112409,3959,269912,,55507,22448,80217,5229,163401,,61180,13792,56678,1669,133319,,26221,10891,45067,1853,84032,,10489,5021,11472,598,27580,,737097,204019,689750,84126,1714992,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,Canterbury Christ Church University College,23,0,11,0,34,,18,12,27,0,57,,220,8,68,0,296,,32,1,9,0,42,,11,0,5,0,16,,0,0,0,0,0,,9,1,5,0,15,,313,22,125,0,460,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,The University of Central England in Birmingham,0,0,0,0,0,,88,1,47,0,136,,486,204,334,0,1024,,174,45,135,0,354,,83,207,310,0,600,,0,0,0,0,0,,54,5,66,0,125,,885,462,892,0,2239,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,The University of Central Lancashire,88,163,99,0,350,,77,112,91,0,280,,323,187,283,0,793,,10,146,153,0,309,,10,85,108,0,203,,0,8,8,0,16,,34,52,43,0,129,,542,753,785,0,2080,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,Central School of Speech and Drama,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,Chester College of HE,0,0,7,0,7,,0,0,9,0,9,,36,134,112,5,287,,0,0,6,0,6,,0,0,0,0,0,,0,0,3,0,3,,0,0,0,0,0,,36,134,137,5,312,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,University College Chichester,0,0,0,0,0,,65,0,61,0,126,,81,0,23,0,104,,23,0,69,7,99,,0,0,0,0,0,,2,1,20,0,23,,0,0,2,0,2,,171,1,175,7,354,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,City University,803,16,394,0,1213,,363,16,216,0,595,,690,24,538,0,1252,,315,7,250,0,572,,353,56,1076,0,1485,,114,14,73,0,201,,280,3,100,0,383,,2918,136,2647,0,5701,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,Conservatoire for Dance and Drama(#1),0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,Coventry University,5,119,36,0,160,,19,112,199,0,330,,113,239,221,0,573,,23,46,71,0,140,,86,325,205,5,621,,8,8,4,0,20,,0,0,0,0,0,,254,849,736,5,1844,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,Cranfield University,2629,461,2762,0,5852,,61,125,21,0,207,,593,1628,3512,0,5733,,1371,3557,3685,0,8613,,533,1476,1633,0,3642,,315,1371,1902,0,3588,,0,0,0,0,0,,5502,8618,13515,0,27635,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,Cumbria Institute of the Arts,0,0,0,0,0,,0,0,0,0,0,,0,0,5,0,5,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,5,0,5,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,Dartington College of Arts,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
