Table D - Sources of Income,,,,,
,,,£ Thousands,,
,2000/01,1999/2000,% change,,
,,,,,
,,,,,
Funding council grants,5355777,5140328,4.19%,,
Tuition fees & education grants & contracts,3048579,2858908,6.63%,,
Research grants & contracts,2207228,1969912,12.05%,,
Other income,2589948,2450193,5.70%,,
Endowment & investment income,292387,292399,0.00%,,
Total income,13493919,12711740,6.15%,,
,,,,,

Copyright © Higher Education Statistics Agency Limited 2002,,,,,
,,,,,
