"Table B - Total Income and Expenditure, Financial Years 2000/01 and 1999/2000",,,,,
,,,,£ Thousands,
,,2000/01,1999/2000,% change,
,,,,,
,,,,,
Income,,13493919,12711740,6.15%,
Expenditure,,13544483,12689854,6.73%,
Surplus/Deficit(#5),,-50564,21886,-331.03%,
Surplus/Deficit as percentage of income,,-0.37%,0.17%,,
,,,,,
# see relevant footnote in Notes on Tables.,,,,,

Copyright © Higher Education Statistics Agency Limited 2002,,,,,
