"Table I -  Expenditure, Financial Years ending 2000/01 and 1999/2000",,,
,,,£ Thousands
,2000/01,1999/2000,% change
,,,
,,,
Staff costs,7911111,7385624,7.11%
Other operating expenses,4807898,4547301,5.73%
Depreciation,614087,555094,10.63%
Interest payable,211387,201835,4.73%
Total,13544483,12689854,6.73%
,,,

Copyright © Higher Education Statistics Agency Limited 2002,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
