Table G - Income from Research Grants and Contracts 2001/02,,
,,£ Thousands
,,% of total
,,
,,
OST research councils,805360,33.1%
UK based charities,606885,24.9%
"UK central government bodies, local, health & hospital authorities",413163,17.0%
"UK industry, commerce & public corps",250232,10.3%
EU government bodies,158455,6.5%
EU other,30409,1.2%
Other overseas,115605,4.8%
Other sources,53309,2.2%
,,
Total research grants & contracts,2433418,100.0%
,,

Copyright © Higher Education Statistics Agency Limited 2003














,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
